Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Fruit_Flower,Dead,Outside_Plot,cf,Scientific_Name,Code,Life_Form,Nativity,Comments,Certified,Verified
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Rotational,60,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,32,FALSE,FALSE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Fixed,15,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,7,FALSE,FALSE,FALSE,,,Aglaia mariannensis,AGLMAR,Tree,Native,"photo 401, dark leaves",TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,9,FALSE,FALSE,FALSE,,,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,2,FALSE,FALSE,FALSE,,,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,FALSE,FALSE,,,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,2,FALSE,FALSE,FALSE,,,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,29,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,14,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,7,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,34,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Fixed,15,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,15,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,16,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,13,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,40,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,20,FALSE,FALSE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Fixed,7,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,27,FALSE,TRUE,FALSE,,,Festuca myuros,FESMYR,Grass,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,4,FALSE,FALSE,FALSE,,,Tectaria setchellii,TECSET,Fern,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Rotational,18,FALSE,FALSE,FALSE,,,Tectaria setchellii,TECSET,Fern,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,1,FALSE,FALSE,FALSE,,,Scleria polycarpa,SCLPOL,Sedge,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Scleria polycarpa,SCLPOL,Sedge,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,3,FALSE,FALSE,FALSE,,,Scleria polycarpa,SCLPOL,Sedge,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,4,FALSE,FALSE,FALSE,,,Scleria polycarpa,SCLPOL,Sedge,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,8,FALSE,FALSE,FALSE,,,Scleria polycarpa,SCLPOL,Sedge,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,19,FALSE,TRUE,FALSE,,,Scleria polycarpa,SCLPOL,Sedge,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,7,FALSE,TRUE,FALSE,,,Scleria polycarpa,SCLPOL,Sedge,Native,photos,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,16,FALSE,TRUE,FALSE,,,Dryopteris unidentata var. paleacea,DRYUNI1,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,1,FALSE,TRUE,FALSE,,,Dryopteris unidentata var. paleacea,DRYUNI1,Fern,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,8,FALSE,FALSE,FALSE,,,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,16,FALSE,TRUE,FALSE,,,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,FALSE,FALSE,,,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Rotational,13,FALSE,TRUE,FALSE,,,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,9,FALSE,FALSE,FALSE,,,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,8,FALSE,TRUE,FALSE,,,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,3,FALSE,FALSE,FALSE,,,Pisonia umbellifera,PISUMB,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,8,FALSE,FALSE,FALSE,,,Pisonia umbellifera,PISUMB,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Pisonia umbellifera,PISUMB,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,4,FALSE,FALSE,FALSE,,,Pisonia umbellifera,PISUMB,Tree,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,21,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,28,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,13,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,6,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,28,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,17,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,47,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,30,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,16,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,10,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,29,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,18,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,FALSE,FALSE,,,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,13,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,16,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,18,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,8,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,TRUE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,11,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,5,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,28,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,19,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,6,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,13,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,6,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,11,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,39,FALSE,FALSE,FALSE,,,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Fixed,7,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2013,1,Rotational,22,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2013,1,Rotational,23,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Fixed,7,FALSE,TRUE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Rotational,31,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,28,FALSE,TRUE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,16,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2011,1,Rotational,25,FALSE,TRUE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,14,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,1,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,2,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,8,FALSE,FALSE,FALSE,,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,60,FALSE,TRUE,FALSE,TRUE,,Coniogramme pilosa,CONPIL,Fern,Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,10,FALSE,TRUE,FALSE,,,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,10,FALSE,FALSE,FALSE,,,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,6,FALSE,FALSE,FALSE,,,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,1,FALSE,FALSE,FALSE,,,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,6,FALSE,TRUE,FALSE,,,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,16,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Fixed,8,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,9,FALSE,FALSE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,15,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,"added from field maps plant photos, point in plot",TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,50,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,"no photo, changed because of explanation in efforts report.",TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,57,FALSE,FALSE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,JG: Changed DRYMAU to DRYUNI because of explanation in efforts report,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,59,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,JG: Changed DRYMAU to DRYUNI because of explanation in efforts report,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,35,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Fixed,1,FALSE,FALSE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Rotational,57,FALSE,FALSE,FALSE,,TRUE,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,14,FALSE,FALSE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Fixed,1,FALSE,FALSE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,25,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,28,FALSE,TRUE,FALSE,,,Dryopteris unidentata,DRYUNI3,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,21,FALSE,TRUE,FALSE,,,Dryopteris unidentata var. unidentata,DRYUNI4,Fern,Native,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,1,FALSE,FALSE,FALSE,,,Dryopteris unidentata var. unidentata,DRYUNI4,Fern,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,17,FALSE,TRUE,FALSE,,,Eragrostis grandis,ERAGRA,Grass,Native,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Rotational,33,FALSE,TRUE,FALSE,,,Eragrostis grandis,ERAGRA,Grass,Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,42,FALSE,TRUE,FALSE,,,Lotus subbiflorus,LOTSUB,Herb,Non-Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,7,FALSE,TRUE,FALSE,,,Lotus subbiflorus,LOTSUB,Herb,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,21,FALSE,FALSE,FALSE,,,Syzygium dealatum,SYZDEA,Tree,Native,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,2,FALSE,FALSE,FALSE,,,Gamochaeta purpurea,GAMPUR,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Rotational,60,FALSE,FALSE,FALSE,,,Gamochaeta purpurea,GAMPUR,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Rotational,23,FALSE,FALSE,FALSE,,,Gamochaeta purpurea,GAMPUR,Herb,Non-Native,question on ID but likely GAMPUR,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,33,FALSE,FALSE,FALSE,TRUE,,Polystichum haleakalense,POLHAL,Fern,Native,just outside,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Rotational,42,FALSE,FALSE,FALSE,,,Polystichum haleakalense,POLHAL,Fern,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Codiaeum variegatum,CODVAR,Tree,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,5,FALSE,FALSE,FALSE,,,Codiaeum variegatum,CODVAR,Tree,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,47,FALSE,FALSE,FALSE,,,Codiaeum variegatum,CODVAR,Tree,Non-Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Fixed,10,FALSE,TRUE,FALSE,,,Peperomia globulanthera,PEPGLO,Herb,Native,,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,27,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,43,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,4,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,32,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,36,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,1,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,13,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,23,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,19,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,6,FALSE,TRUE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,26,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,25,FALSE,FALSE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,1,FALSE,TRUE,FALSE,,,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
