Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Sample_Area,LF_Sm_Woody,DBH,Status,Length,Rooting,Count,Scientific_Name,Code,Life_Form,Nativity,Comments,Certified,Verified
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,Transect 3,Seedling,<1,Live,L2,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,Transect 3,Seedling,<1,Live,L3,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,47,FALSE,Transect 3,Seedling,<1,Live,L1,R1,8,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,47,FALSE,Transect 3,Seedling,<1,Live,L2,R1,18,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,47,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,30,FALSE,Quad 4,Small Tree,1<5,Live,,R1,29,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,30,FALSE,Quad 4,Small Tree,5<10,Live,,R1,14,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,30,FALSE,Quad 4,Small Tree,1<5,Live,,R1,30,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,28,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,9,FALSE,Quad 4,Small Tree,1<5,Live,,R1,5,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,29,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,10,FALSE,Transect 3,Seedling,<1,Live,L1,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,10,FALSE,Transect 3,Seedling,<1,Live,L2,R1,4,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,10,FALSE,Quad 4,Small Tree,1<5,Live,,R1,4,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,10,FALSE,Quad 4,Small Tree,5<10,Live,,R1,3,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Heliconia laufao,HELLAU,Herb,Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,6,FALSE,Transect 3,Shrub,,Live,L1,R1,9,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,10,FALSE,Transect 3,Shrub,,Live,L3,R1,10,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,6,FALSE,Transect 3,Shrub,,Live,L3,R1,31,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,6,FALSE,Transect 3,Shrub,,Live,L2,R1,17,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,6,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,10,FALSE,Transect 3,Shrub,,Live,L2,R1,12,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,10,FALSE,Transect 3,Shrub,,Live,L3,R1,14,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,10,FALSE,Transect 3,Shrub,,Live,L2,R1,12,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,6,FALSE,Transect 3,Shrub,,Live,L2,R1,20,Pluchea indica,PLUIND1,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,5,FALSE,Transect 3,Shrub,,Live,L1,R1,7,Codiaeum variegatum,CODVAR,Tree,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,5,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Codiaeum variegatum,CODVAR,Tree,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,5,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,21,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,4,FALSE,Transect 3,Shrub,,Live,L1,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,1,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,1,FALSE,Transect 3,Shrub,,Live,L2,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,7,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,3,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,2,FALSE,Transect 3,Shrub,,Live,L1,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Rotational,19,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,17,FALSE,Transect 3,Shrub,,Live,L1,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,17,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Rotational,20,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,19,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Rotational,18,FALSE,Transect 3,Shrub,,Live,L2,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,6,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,6,FALSE,Transect 3,Shrub,,Live,L2,R1,5,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,26,FALSE,Transect 3,Shrub,,Live,L1,R1,10,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,1,FALSE,Transect 3,Shrub,,Live,L1,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,4,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,37,FALSE,Transect 3,Shrub,,Live,L1,R1,10,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,Transect 3,Shrub,,Live,L2,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,10,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,46,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,29,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,29,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,8,FALSE,Transect 3,Shrub,,Live,L1,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,8,FALSE,Transect 3,Shrub,,Live,L2,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,8,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,45,FALSE,Transect 3,Shrub,,Live,L1,R1,11,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,43,FALSE,Transect 3,Shrub,,Live,L2,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,3,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,13,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,9,FALSE,Transect 3,Shrub,,Live,L2,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,10,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,7,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,13,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,39,FALSE,Transect 3,Shrub,,Live,L2,R1,7,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,38,FALSE,Transect 3,Shrub,,Live,L3,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,1,FALSE,Transect 3,Shrub,,Live,L1,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,3,FALSE,Transect 3,Shrub,,Live,L1,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,37,FALSE,Transect 3,Shrub,,Live,L2,R1,8,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,2,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,41,FALSE,Transect 3,Shrub,,Live,L1,R1,12,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,3,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,4,FALSE,Transect 3,Shrub,,Live,L3,R1,4,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,11,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,6,FALSE,Transect 3,Shrub,,Live,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,43,FALSE,Transect 3,Shrub,,Live,L1,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,42,FALSE,Transect 3,Shrub,,Live,L1,R1,12,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,7,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,34,FALSE,Transect 3,Shrub,,Live,L2,R1,12,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,10,FALSE,Transect 3,Shrub,,Live,L3,R1,6,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,34,FALSE,Transect 3,Shrub,,Live,L1,R1,5,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,34,FALSE,Transect 3,Shrub,,Live,L2,R1,6,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,11,FALSE,Transect 3,Shrub,,Live,L2,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,43,FALSE,Transect 3,Shrub,,Live,L2,R1,6,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,9,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,40,FALSE,Transect 3,Shrub,,Live,L1,R1,11,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,39,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,33,FALSE,Transect 3,Shrub,,Live,L1,R1,7,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,4,FALSE,Transect 3,Shrub,,Live,L1,R1,12,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,8,FALSE,Transect 3,Shrub,,Live,L2,R1,6,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,40,FALSE,Transect 3,Shrub,,Live,L1,R1,5,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,2,FALSE,Transect 3,Shrub,,Live,L2,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,8,FALSE,Transect 3,Shrub,,Live,L2,R1,6,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,9,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,38,FALSE,Transect 3,Shrub,,Live,L2,R1,12,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,7,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,13,FALSE,Transect 3,Shrub,,Live,L1,R1,11,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,36,FALSE,Transect 3,Shrub,,Live,L2,R1,5,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,40,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,39,FALSE,Transect 3,Shrub,,Live,L3,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,44,FALSE,Transect 3,Shrub,,Live,L1,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,5,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,4,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,35,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,11,FALSE,Transect 3,Shrub,,Live,L1,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,7,FALSE,Transect 3,Shrub,,Dead,L1,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,11,FALSE,Transect 3,Shrub,,Live,L3,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,8,FALSE,Transect 3,Shrub,,Live,L3,R1,8,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,35,FALSE,Transect 3,Shrub,,Live,L3,R1,3,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,3,FALSE,Transect 3,Shrub,,Live,L3,R1,1,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,3,FALSE,Transect 3,Shrub,,Live,L2,R1,2,Cordyline fruticosa,CORFRU,Shrub,Non-Native,,TRUE,TRUE
