Event_ID,Image_Point_ID,Unit_Code,Community,Sampling_Frame,Year,Cycle,Transect_Type,Transect_Number,Image_Point,Latitude,Latitude_Dir,Longitude,Longitude_Dir,GCS,GPS_Error
20231018093032-705547511.577606,20231018103517-404834151.268005,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,2,400,20.74438,,-156.201544,,World Geodetic System 1984,5.0
20231018093032-705547511.577606,20231018103602-55593490.6005859,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,2,500,20.743628,,-156.201027,,World Geodetic System 1984,1.9
20231018114256-705547511.577606,20231018114453-579518616.199493,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,5,0,20.739644,,-156.209385,,World Geodetic System 1984,5.0
20231018114256-705547511.577606,20231018114538-301948010.921478,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,5,100,20.738822,,-156.209112,,World Geodetic System 1984,5.0
20231018114256-705547511.577606,20231018114635-814490020.275116,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,5,200,20.737936,,-156.208915,,World Geodetic System 1984,5
20231018114256-705547511.577606,20231018115146-45352756.9770813,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,5,300,20.737084,,-156.208651,,World Geodetic System 1984,5.0
20231018114256-705547511.577606,20231018115235-862619340.419769,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,5,400,20.736228,,-156.208323,,World Geodetic System 1984,5.0
20231018114256-705547511.577606,20231018115320-373536169.528961,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,5,500,20.735397,,-156.207973,,World Geodetic System 1984,2.8
20231018123407-927616536.617279,20231018123942-272942364.215851,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,4,0,20.745433,,-156.195372,,World Geodetic System 1984,1.9
20231018123407-927616536.617279,20231018124114-30950605.8692932,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,4,100,20.744598,,-156.195918,,World Geodetic System 1984,1.9
20231018123407-927616536.617279,20231018124223-790128886.699677,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,4,200,20.74382,,-156.195495,,World Geodetic System 1984,1.9
20231018123407-927616536.617279,20231018124328-235282242.298126,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,4,300,20.743032,,-156.195006,,World Geodetic System 1984,4.7
20231018123407-927616536.617279,20231018124413-254601895.809174,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,4,400,20.742276,,-156.194485,,World Geodetic System 1984,4.7
20231018123407-927616536.617279,20231018124452-44933855.5335999,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,4,500,20.74154,,-156.194062,,World Geodetic System 1984,3.5
20231018132118-944971024.990082,20231018132231-645951330.661774,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,3,0,20.751823,,-156.228089,,World Geodetic System 1984,4.4
20231018132118-944971024.990082,20231018132456-104432284.832001,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,3,100,20.751228,,-156.228744,,World Geodetic System 1984,4.6
20231018132118-944971024.990082,20231018132531-77684700.4890442,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,3,200,20.75064,,-156.229394,,World Geodetic System 1984,4.6
20231018132118-944971024.990082,20231018132607-959270894.527435,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,3,300,20.749947,,-156.229971,,World Geodetic System 1984,4.6
20231018132118-944971024.990082,20231018132643-494376718.997955,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,3,400,20.749341,,-156.230627,,World Geodetic System 1984,4.6
20231018132118-944971024.990082,20231018132717-217799842.357635,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,3,500,20.748704,,-156.231339,,World Geodetic System 1984,4.6
20231018135841-619831502.437592,20231018135932-205047190.189362,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,6,0,20.7340385,,-156.23603,,World Geodetic System 1984,3.1
20231018135841-619831502.437592,20231018140017-504459083.080292,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,6,100,20.733605,,-156.236653,,World Geodetic System 1984,3.9
20231018135841-619831502.437592,20231018140054-991402447.223663,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,6,200,20.732856,,-156.237296,,World Geodetic System 1984,3.5
20231018135841-619831502.437592,20231018140131-4019677.63900757,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,6,300,20.732169,,-156.237842,,World Geodetic System 1984,5.5
20231018135841-619831502.437592,20231018140208-288717329.502106,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,6,400,20.73149,,-156.238558,,World Geodetic System 1984,6.2
20231018135841-619831502.437592,20231018140241-891279399.394989,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,6,500,20.73085,,-156.239184,,World Geodetic System 1984,3.7
20231018142154-375816047.19162,20231018142416-841427624.225616,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,9,0,20.711208,,-156.215382,,World Geodetic System 1984,3.8
20231018142154-375816047.19162,20231018142514-724558770.656586,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,9,100,20.710642,,-156.214838,,World Geodetic System 1984,3.8
20231018142154-375816047.19162,20231018142556-406381666.660309,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,9,200,20.709762,,-156.214553,,World Geodetic System 1984,2.8
20231018142154-375816047.19162,20231018142632-645570933.818817,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,9,300,20.708965,,-156.214155,,World Geodetic System 1984,3.8
20231018142154-375816047.19162,20231018142709-223323166.370392,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,9,400,20.708142,,-156.213757,,World Geodetic System 1984,2.8
20231018142154-375816047.19162,20231018142914-748532712.459564,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,9,500,20.707332,,-156.21331,,World Geodetic System 1984,3.8
20231019071127-705547511.577606,20231019071400-579518616.199493,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,10,500,20.705638,,-156.224883,,World Geodetic System 1984,3.8
20231019071127-705547511.577606,20231019071436-301948010.921478,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,10,400,20.705608,,-156.225953,,World Geodetic System 1984,2.8
20231019071127-705547511.577606,20231019071513-14017641.544342,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,10,300,20.705385,,-156.226768,,World Geodetic System 1984,3.8
20231019071127-705547511.577606,20231019071555-814490020.275116,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,10,200,20.705243,,-156.227732,,World Geodetic System 1984,2.8
20231019071127-705547511.577606,20231019071629-45352756.9770813,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,10,100,20.705122,,-156.228717,,World Geodetic System 1984,2.8
20231019071127-705547511.577606,20231019071700-862619340.419769,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,10,0,20.705008,,-156.229545,,World Geodetic System 1984,2.8
20231019073030-646587133.407593,20231019073204-412766814.231873,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,41,0,20.73525,,-156.196743,,World Geodetic System 1984,3.8
20231019073030-646587133.407593,20231019073310-326206207.275391,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,41,100,20.734683,,-156.19608,,World Geodetic System 1984,2.8
20231019073030-646587133.407593,20231019073340-207561135.292053,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,41,200,20.73415,,-156.195347,,World Geodetic System 1984,3.8
20231019073030-646587133.407593,20231019073408-583359003.067017,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,41,300,20.733538,,-156.194662,,World Geodetic System 1984,2.8
20231019073030-646587133.407593,20231019073434-457971453.666687,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,41,400,20.733012,,-156.193947,,World Geodetic System 1984,1.9
20231019073030-646587133.407593,20231019073502-261368274.688721,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,41,500,20.73239,,-156.19332,,World Geodetic System 1984,2.8
20231019080624-345391631.126404,20231019080716-922954559.326172,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,39,0,20.749014,,-156.252083,,World Geodetic System 1984,4.7
20231019080624-345391631.126404,20231019080832-406421303.749084,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,39,100,20.748263,,-156.251615,,World Geodetic System 1984,6.8
20231019080624-345391631.126404,20231019080904-826225519.180298,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,39,200,20.74754,,-156.251167,,World Geodetic System 1984,7.0
20231019080624-345391631.126404,20231019080933-721895098.686218,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,39,300,20.746839,,-156.250669,,World Geodetic System 1984,3.9
20231019080624-345391631.126404,20231019080959-339806079.864502,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,39,400,20.746123,,-156.250162,,World Geodetic System 1984,3.9
20231019080624-345391631.126404,20231019081140-412967801.094055,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,39,500,20.745331,,-156.24972,,World Geodetic System 1984,4.0
20231019105349-346957147.121429,20231019105648-742342054.843903,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,38,0,20.755562,,-156.225978,,World Geodetic System 1984,4.7
20231019105349-346957147.121429,20231019105740-278589427.471161,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,38,100,20.75466,,-156.225771,,World Geodetic System 1984,4.7
20231019105349-346957147.121429,20231019105825-404864609.241486,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,38,200,20.753808,,-156.225708,,World Geodetic System 1984,4.7
20231019105349-346957147.121429,20231019105902-741780698.299408,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,38,300,20.752929,,-156.225602,,World Geodetic System 1984,4.7
20231019105349-346957147.121429,20231019105955-77980577.9457092,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,38,400,20.752034,,-156.22556,,World Geodetic System 1984,4.6
20231019105349-346957147.121429,20231019110033-339375197.887421,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,38,500,20.751229,,-156.225387,,World Geodetic System 1984,4.6
20231019115527-541873455.047607,20231019115649-73371052.7420044,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,36,0,20.706608,,-156.210323,,World Geodetic System 1984,3.8
20231019115527-541873455.047607,20231019115748-698890447.616577,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,36,100,20.70669,,-156.21124,,World Geodetic System 1984,3.8
20231019115527-541873455.047607,20231019115821-406934142.112732,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,36,200,20.706623,,-156.212245,,World Geodetic System 1984,5.6
20231019115527-541873455.047607,20231019115906-984649658.203125,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,36,300,20.706773,,-156.213147,,World Geodetic System 1984,3.8
20231019115527-541873455.047607,20231019115938-531989693.641663,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,36,400,20.706728,,-156.214132,,World Geodetic System 1984,4.7
20231019115527-541873455.047607,20231019120013-89153528.213501,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,36,500,20.706818,,-156.215152,,World Geodetic System 1984,3.8
20231019122938-308465480.804443,20231019123110-718793034.553528,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,34,0,20.743038,,-156.217302,,World Geodetic System 1984,2.8
20231019122938-308465480.804443,20231019123143-222532033.920288,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,34,100,20.742211,,-156.216937,,World Geodetic System 1984,4.7
20231019122938-308465480.804443,20231019123216-553302168.84613,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,34,200,20.741421,,-156.216585,,World Geodetic System 1984,4.6
20231019122938-308465480.804443,20231019123249-204305648.803711,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,34,300,20.740584,,-156.216195,,World Geodetic System 1984,4.6
20231019122938-308465480.804443,20231019123321-629987359.046936,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,34,400,20.739822,,-156.215813,,World Geodetic System 1984,4.7
20231019122938-308465480.804443,20231019123351-60976266.8609619,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,34,500,20.739006,,-156.215439,,World Geodetic System 1984,4.7
20231019133919-738123714.923859,20231019134014-431542336.940765,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,33,0,20.7396,,-156.238559,,World Geodetic System 1984,2.8
20231019133919-738123714.923859,20231019134130-499702513.217926,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,33,100,20.739965,,-156.237723,,World Geodetic System 1984,3.9
20231019133919-738123714.923859,20231019134158-59677302.8373718,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,33,200,20.740329,,-156.236907,,World Geodetic System 1984,3.9
20231019133919-738123714.923859,20231019134227-118249237.537384,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,33,300,20.740699,,-156.236034,,World Geodetic System 1984,3.9
20231019133919-738123714.923859,20231019134255-314586102.962494,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,33,400,20.741078,,-156.235163,,World Geodetic System 1984,3.9
20231019133919-738123714.923859,20231019134322-604322969.913483,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,33,500,20.741402,,-156.234236,,World Geodetic System 1984,4.0
20231116104932-579518616.199493,20231116105438-14017641.544342,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,40,0,20.76231,,-156.241955,,World Geodetic System 1984,
20231116104932-579518616.199493,20231116105640-814490020.275116,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,40,100,20.761929,,-156.24276,,World Geodetic System 1984,
20231116104932-579518616.199493,20231116105710-45352756.9770813,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,40,200,20.761542,,-156.243593,,World Geodetic System 1984,
20231116104932-579518616.199493,20231116105747-862619340.419769,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,40,300,20.761159,,-156.244432,,World Geodetic System 1984,
20231116104932-579518616.199493,20231116105816-373536169.528961,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,40,400,20.760685,,-156.245291,,World Geodetic System 1984,
20231116104932-579518616.199493,20231116105928-949556648.731232,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,40,500,20.760035,,-156.245763,,World Geodetic System 1984,
20231215084257-705547511.577606,20231215084942-579518616.199493,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,7,0,20.720522,,-156.144952,,World Geodetic System 1984,3.8
20231215084257-705547511.577606,20231215085113-301948010.921478,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,7,100,20.720623,,-156.145905,,World Geodetic System 1984,3.9
20231215084257-705547511.577606,20231215085204-14017641.544342,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,7,200,20.720774,,-156.146828,,World Geodetic System 1984,3.9
20231215084257-705547511.577606,20231215085309-814490020.275116,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,7,300,20.720923,,-156.147584,,World Geodetic System 1984,5.6
20231215084257-705547511.577606,20231215085342-45352756.9770813,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,7,400,20.721091,,-156.148456,,World Geodetic System 1984,3.9
20231215084257-705547511.577606,20231215085417-862619340.419769,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,7,500,20.721209,,-156.149381,,World Geodetic System 1984,3.8
20231215122850-579518616.199493,20231215122932-301948010.921478,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,37,0,20.72534,,-156.155564,,World Geodetic System 1984,3.5
20231215122850-579518616.199493,20231215123023-14017641.544342,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,37,100,20.724687,,-156.155034,,World Geodetic System 1984,2.8
20231215122850-579518616.199493,20231215123046-814490020.275116,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,37,200,20.723994,,-156.154512,,World Geodetic System 1984,3.9
20231215122850-579518616.199493,20231215123107-45352756.9770813,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,37,300,20.723243,,-156.153945,,World Geodetic System 1984,3.9
20231215122850-579518616.199493,20231215123129-862619340.419769,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,37,400,20.722538,,-156.153374,,World Geodetic System 1984,3.6
20231215122850-579518616.199493,20231215123150-373536169.528961,HALE,Subalpine Shrubland,Haleakala,2023,3,Rotational,37,500,20.721823,,-156.152827,,World Geodetic System 1984,4.8
20231215131044-993731319.904327,20231215131145-28885781.7649841,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,8,0,20.715639,,-156.159173,,World Geodetic System 1984,3.9
20231215131044-993731319.904327,20231215135141-547668516.635895,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,8,100,20.714858,,-156.159607,,World Geodetic System 1984,2.0
20231215131044-993731319.904327,20231215135208-538246333.599091,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,8,200,20.714035,,-156.160029,,World Geodetic System 1984,5.2
20231215131044-993731319.904327,20231215135232-847245514.392853,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,8,300,20.713253,,-156.1605,,World Geodetic System 1984,3.8
20231215131044-993731319.904327,20231215135303-672427594.661713,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,8,400,20.712416,,-156.160849,,World Geodetic System 1984,4
20231215131044-993731319.904327,20231215135329-996771395.206451,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,8,500,20.711584,,-156.161234,,World Geodetic System 1984,4.7
20240122115314-579518616.199493,20240122120550-301948010.921478,HALE,Wet Forest,Kipahulu District,2023,3,Fixed,5,0,20.717794,,-156.118515,,World Geodetic System 1984,4.6
20240122115314-579518616.199493,20240122122121-14017641.544342,HALE,Wet Forest,Kipahulu District,2023,3,Fixed,5,200,20.71705,,-156.11742,,World Geodetic System 1984,4.6
20240122115314-579518616.199493,20240122122254-814490020.275116,HALE,Wet Forest,Kipahulu District,2023,3,Fixed,5,400,20.71719,,-156.115805,,World Geodetic System 1984,4.6
20240122115314-579518616.199493,20240122122345-45352756.9770813,HALE,Wet Forest,Kipahulu District,2023,3,Fixed,5,600,20.717147,,-156.114178,,World Geodetic System 1984,4.5
20240122115314-579518616.199493,20240122122733-862619340.419769,HALE,Wet Forest,Kipahulu District,2023,3,Fixed,5,800,20.716752,,-156.112414,,World Geodetic System 1984,4.4
20240122115314-579518616.199493,20240122122938-373536169.528961,HALE,Wet Forest,Kipahulu District,2023,3,Fixed,5,1000,20.715769,,-156.111193,,World Geodetic System 1984,4.4
20240529090834-542029261.58905,20240719100207-533424019.813538,KALA,Coastal Strand,Kalawao,2024,3,Rotational,53,0,,,,,World Geodetic System 1984,
20101223103744-814663946.628571,20101223103814-427533328.533173,HAVO,Wet Forest,Olaa,2010,1,Fixed,3,0,19.478017,North,-155.223494,West,World Geodetic System 1984,6
20101223103744-814663946.628571,20101223104528-302497565.746307,HAVO,Wet Forest,Olaa,2010,1,Fixed,3,200,19.478868,North,-155.221925,West,World Geodetic System 1984,6
20101223103744-814663946.628571,20101223104839-684062302.112579,HAVO,Wet Forest,Olaa,2010,1,Fixed,3,400,19.479638,North,-155.220269,West,World Geodetic System 1984,5
20101223103744-814663946.628571,20101223105448-115470111.370087,HAVO,Wet Forest,Olaa,2010,1,Fixed,3,600,19.480561,North,-155.218662,West,World Geodetic System 1984,6
20101223103744-814663946.628571,20101223105624-746354758.739471,HAVO,Wet Forest,Olaa,2010,1,Fixed,3,800,19.481366,North,-155.217016,West,World Geodetic System 1984,6
20101223103744-814663946.628571,20101223105834-15682399.2729187,HAVO,Wet Forest,Olaa,2010,1,Fixed,3,1000,19.482289,North,-155.215419,West,World Geodetic System 1984,5
20101223113134-410036683.082581,20101223113224-114623308.181763,HAVO,Wet Forest,Olaa,2010,1,Rotational,17,0,19.473654,North,-155.222101,West,World Geodetic System 1984,4
20101223113134-410036683.082581,20110112103603-631742417.812347,HAVO,Wet Forest,Olaa,2010,1,Rotational,17,200,19.474846,North,-155.223593,West,World Geodetic System 1984,3.7
20101223113134-410036683.082581,20110112103711-913717567.920685,HAVO,Wet Forest,Olaa,2010,1,Rotational,17,400,19.475912,North,-155.225055,West,World Geodetic System 1984,4.1
20101223113134-410036683.082581,20110112103840-677947700.023651,HAVO,Wet Forest,Olaa,2010,1,Rotational,17,600,19.477032,North,-155.226556,West,World Geodetic System 1984,3.2
20101223113134-410036683.082581,20110112104010-269731581.21109,HAVO,Wet Forest,Olaa,2010,1,Rotational,17,800,19.478124,North,-155.228019,West,World Geodetic System 1984,2.9
20101223113134-410036683.082581,20110112104118-364995419.979095,HAVO,Wet Forest,Olaa,2010,1,Rotational,17,1000,19.479189,North,-155.229557,West,World Geodetic System 1984,3.8
20101223113134-410036683.082581,20120209131813-226866006.851196,HAVO,Wet Forest,Olaa,2010,1,Rotational,17,Map,,,,,World Geodetic System 1984,
20101223131632-939971148.967743,20101223131704-984253227.710724,HAVO,Wet Forest,Olaa,2010,1,Fixed,8,0,19.495885,North,-155.25972,West,World Geodetic System 1984,3
20101223131632-939971148.967743,20101223131926-438826382.160187,HAVO,Wet Forest,Olaa,2010,1,Fixed,8,200,19.49661,North,-155.258111,West,World Geodetic System 1984,2.8
20101223131632-939971148.967743,20101223132107-209698975.086212,HAVO,Wet Forest,Olaa,2010,1,Fixed,8,400,19.497557,North,-155.2568,West,World Geodetic System 1984,2.4
20101223131632-939971148.967743,20101223132226-846187412.7388,HAVO,Wet Forest,Olaa,2010,1,Fixed,8,600,19.498426,North,-155.255136,West,World Geodetic System 1984,2.9
20101223131632-939971148.967743,20101223132421-413233101.36795,HAVO,Wet Forest,Olaa,2010,1,Fixed,8,800,19.499411,North,-155.253673,West,World Geodetic System 1984,3.4
20101223131632-939971148.967743,20101223132602-991402447.223663,HAVO,Wet Forest,Olaa,2010,1,Fixed,8,1000,19.50029,North,-155.252,West,World Geodetic System 1984,4.3
20101223135749-547011435.031891,20101223135829-38191974.1630554,HAVO,Wet Forest,Olaa,2010,1,Fixed,9,0,19.510794,North,-155.247592,West,World Geodetic System 1984,3
20101223135749-547011435.031891,20101223135958-411996543.40744,HAVO,Wet Forest,Olaa,2010,1,Fixed,9,200,19.511753,North,-155.246005,West,World Geodetic System 1984,3
20101223135749-547011435.031891,20101223140137-978931605.815887,HAVO,Wet Forest,Olaa,2010,1,Fixed,9,400,19.512668,North,-155.244342,West,World Geodetic System 1984,3.4
20101223135749-547011435.031891,20101223140330-300032317.638397,HAVO,Wet Forest,Olaa,2010,1,Fixed,9,600,19.51359,North,-155.242811,West,World Geodetic System 1984,3
20101223135749-547011435.031891,20101223140448-326958835.124969,HAVO,Wet Forest,Olaa,2010,1,Fixed,9,800,19.514234,North,-155.241144,West,World Geodetic System 1984,2.6
20101223135749-547011435.031891,20101223140556-901996314.525604,HAVO,Wet Forest,Olaa,2010,1,Fixed,9,1000,19.515051,North,-155.239383,West,World Geodetic System 1984,3.4
20110103074010-760723590.85083,20110103074057-709037899.971008,HAVO,Wet Forest,Olaa,2010,1,Fixed,10,0,19.50165,North,-155.271077,West,World Geodetic System 1984,4
20110103074010-760723590.85083,20110103074446-56236863.1362915,HAVO,Wet Forest,Olaa,2010,1,Fixed,10,200,19.502357,North,-155.26941,West,World Geodetic System 1984,3
20110103074010-760723590.85083,20110103074638-298165440.559387,HAVO,Wet Forest,Olaa,2010,1,Fixed,10,400,19.502784,North,-155.26775,West,World Geodetic System 1984,3
20110103074010-760723590.85083,20110103074849-986093163.490295,HAVO,Wet Forest,Olaa,2010,1,Fixed,10,600,19.503473,North,-155.266102,West,World Geodetic System 1984,3
20110103074010-760723590.85083,20110103075158-999414563.179016,HAVO,Wet Forest,Olaa,2010,1,Fixed,10,800,19.504235,North,-155.264465,West,World Geodetic System 1984,3
20110103074010-760723590.85083,20110103075325-45649170.8755493,HAVO,Wet Forest,Olaa,2010,1,Fixed,10,1000,19.504607,North,-155.26286,West,World Geodetic System 1984,3
20110103080124-105452656.745911,20110103080227-128249883.651733,HAVO,Wet Forest,Olaa,2010,1,Rotational,12,0,19.512068,North,-155.25624,West,World Geodetic System 1984,3
20110103080124-105452656.745911,20110103080346-81893563.2705688,HAVO,Wet Forest,Olaa,2010,1,Rotational,12,200,19.510755,North,-155.255116,West,World Geodetic System 1984,3.3
20110103080124-105452656.745911,20110103080446-704395771.026611,HAVO,Wet Forest,Olaa,2010,1,Rotational,12,400,19.509288,North,-155.253925,West,World Geodetic System 1984,3.1
20110103080124-105452656.745911,20110103080554-461874365.80658,HAVO,Wet Forest,Olaa,2010,1,Rotational,12,600,19.507795,North,-155.252723,West,World Geodetic System 1984,2.7
20110103080124-105452656.745911,20110103080726-169873476.028442,HAVO,Wet Forest,Olaa,2010,1,Rotational,12,800,19.50632,North,-155.251512,West,World Geodetic System 1984,2.7
20110103080124-105452656.745911,20110103080847-750687718.391418,HAVO,Wet Forest,Olaa,2010,1,Rotational,12,1000,19.504871,North,-155.250339,West,World Geodetic System 1984,2.9
20110103082702-330300807.952881,20110103082737-178693532.943726,HAVO,Wet Forest,Olaa,2010,1,Rotational,13,0,19.471746,North,-155.248643,West,World Geodetic System 1984,6
20110103082702-330300807.952881,20110103083057-811571359.634399,HAVO,Wet Forest,Olaa,2010,1,Rotational,13,200,19.473534,North,-155.248668,West,World Geodetic System 1984,5
20110103082702-330300807.952881,20110103083217-710554242.134094,HAVO,Wet Forest,Olaa,2010,1,Rotational,13,400,19.475367,North,-155.248741,West,World Geodetic System 1984,6
20110103082702-330300807.952881,20110103083328-243147850.036621,HAVO,Wet Forest,Olaa,2010,1,Rotational,13,600,19.47713,North,-155.24927,West,World Geodetic System 1984,5
