Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Fruit_Flower,Dead,Outside_Plot,cf,Life_Form,Nativity,Scientific_Name,Code,Comments,Certified,Verified
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Rotational,18,FALSE,FALSE,FALSE,,,Fern,Native,Tectaria setchellii,TECSET,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,1,FALSE,FALSE,FALSE,,,Sedge,Native,Scleria polycarpa,SCLPOL,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Sedge,Native,Scleria polycarpa,SCLPOL,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,3,FALSE,FALSE,FALSE,,,Sedge,Native,Scleria polycarpa,SCLPOL,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,4,FALSE,FALSE,FALSE,,,Sedge,Native,Scleria polycarpa,SCLPOL,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,8,FALSE,FALSE,FALSE,,,Sedge,Native,Scleria polycarpa,SCLPOL,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,19,FALSE,TRUE,FALSE,,,Sedge,Native,Scleria polycarpa,SCLPOL,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,7,FALSE,TRUE,FALSE,,,Sedge,Native,Scleria polycarpa,SCLPOL,photos,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,16,FALSE,TRUE,FALSE,,,,Native,Dryopteris unidentata var. paleacea,DRYUNI1,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,1,FALSE,TRUE,FALSE,,,,Native,Dryopteris unidentata var. paleacea,DRYUNI1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,8,FALSE,FALSE,FALSE,,,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,16,FALSE,TRUE,FALSE,,,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,FALSE,FALSE,,,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Rotational,13,FALSE,TRUE,FALSE,,,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,9,FALSE,FALSE,FALSE,,,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,8,FALSE,TRUE,FALSE,,,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,3,FALSE,FALSE,FALSE,,,Tree,Native,Pisonia umbellifera,PISUMB,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,8,FALSE,FALSE,FALSE,,,Tree,Native,Pisonia umbellifera,PISUMB,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Tree,Native,Pisonia umbellifera,PISUMB,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,4,FALSE,FALSE,FALSE,,,Tree,Native,Pisonia umbellifera,PISUMB,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,21,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,28,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,13,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,6,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,28,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,17,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,47,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,30,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,16,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,10,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,29,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,18,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,FALSE,FALSE,,,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,13,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,16,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,18,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,8,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,TRUE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,11,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,5,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,28,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,19,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,6,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,13,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,6,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,11,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,39,FALSE,FALSE,FALSE,,,Herb,Native,Heliconia laufao,HELLAU,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Fixed,7,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2013,1,Rotational,22,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2013,1,Rotational,23,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Fixed,7,FALSE,TRUE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Rotational,31,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,28,FALSE,TRUE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,16,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2011,1,Rotational,25,FALSE,TRUE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,14,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,1,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,2,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,8,FALSE,FALSE,FALSE,,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,60,FALSE,TRUE,FALSE,TRUE,,Fern,Native,Coniogramme pilosa,CONPIL,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,10,FALSE,TRUE,FALSE,,,Shrub,Non-Native,Pluchea indica,PLUIND1,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,10,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Pluchea indica,PLUIND1,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,6,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Pluchea indica,PLUIND1,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,1,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Pluchea indica,PLUIND1,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,6,FALSE,TRUE,FALSE,,,Shrub,Non-Native,Pluchea indica,PLUIND1,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,16,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Fixed,8,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,9,FALSE,FALSE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,15,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,"added from field maps plant photos, point in plot",TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,50,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,"no photo, changed because of explanation in efforts report.",TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,57,FALSE,FALSE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,JG: Changed DRYMAU to DRYUNI because of explanation in efforts report,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,59,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,JG: Changed DRYMAU to DRYUNI because of explanation in efforts report,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,35,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Fixed,1,FALSE,FALSE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Rotational,57,FALSE,FALSE,FALSE,,TRUE,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,14,FALSE,FALSE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Fixed,1,FALSE,FALSE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,25,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,28,FALSE,TRUE,FALSE,,,Fern,Native,Dryopteris unidentata,DRYUNI3,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,21,FALSE,TRUE,FALSE,,,,Native,Dryopteris unidentata var. unidentata,DRYUNI4,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,1,FALSE,FALSE,FALSE,,,,Native,Dryopteris unidentata var. unidentata,DRYUNI4,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,17,FALSE,TRUE,FALSE,,,Grass,Native,Eragrostis grandis,ERAGRA,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Rotational,33,FALSE,TRUE,FALSE,,,Grass,Native,Eragrostis grandis,ERAGRA,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,42,FALSE,TRUE,FALSE,,,Herb,Non-Native,Lotus subbiflorus,LOTSUB,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,7,FALSE,TRUE,FALSE,,,Herb,Non-Native,Lotus subbiflorus,LOTSUB,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,21,FALSE,FALSE,FALSE,,,Tree,Native,Syzygium dealatum,SYZDEA,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,2,FALSE,FALSE,FALSE,,,Herb,Non-Native,Gamochaeta purpurea,GAMPUR,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Rotational,60,FALSE,FALSE,FALSE,,,Herb,Non-Native,Gamochaeta purpurea,GAMPUR,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Rotational,23,FALSE,FALSE,FALSE,,,Herb,Non-Native,Gamochaeta purpurea,GAMPUR,question on ID but likely GAMPUR,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,33,FALSE,FALSE,FALSE,TRUE,,,Native,Polystichum haleakalense,POLHAL,just outside,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Rotational,42,FALSE,FALSE,FALSE,,,,Native,Polystichum haleakalense,POLHAL,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,FALSE,FALSE,,,Tree,Non-Native,Codiaeum variegatum,CODVAR,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,5,FALSE,FALSE,FALSE,,,Tree,Non-Native,Codiaeum variegatum,CODVAR,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,47,FALSE,FALSE,FALSE,,,Tree,Non-Native,Codiaeum variegatum,CODVAR,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Fixed,10,FALSE,TRUE,FALSE,,,Herb,Native,Peperomia globulanthera,PEPGLO,,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,27,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,43,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,4,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,32,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,36,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,1,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,13,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,23,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,19,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,6,FALSE,TRUE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,26,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,25,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,1,FALSE,TRUE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,17,FALSE,FALSE,FALSE,,,Shrub,Non-Native,Cordyline fruticosa,CORFRU,,TRUE,TRUE
