Event_ID,Unit_Code,Entered_Date,Updated_Date,Verified,Verified_By,Verified_Date,Certified,Certified_By,Certified_Date,Transect_Notes,Event_Notes
20110104131931-872546851.634979,HAVO,2011-01-04T13:19:35Z,2012-09-18T13:24:03Z,TRUE,Daemerson Awong,2011-01-13T14:14:46Z,TRUE,Alison Ainsworth,2012-09-18T13:23:59Z,*There was a large crack covered by uluhe between 820m and 840m. We flagged the closest tree with blue and red flagging (alternating). We diverted around the crack. (Be Careful!) **Between 840m and 880m we had to divert around a large hill with volcanic walls. Afterwards we ajusted our bearing to 160 degrees towards the Endpoint. [*UTM of Crack Location ETR2 Crack X:267602 Y:2144259],
20110104132831-746006906.032562,HAVO,2011-01-04T13:28:33Z,2012-09-18T14:14:27Z,TRUE,Daemerson Awong,2011-01-13T15:02:07Z,TRUE,Alison Ainsworth,2012-09-18T14:14:22Z,The 800m point is actually @ 820m. Couldn't tell which segment the duplication took place at because markings were gone from most of the tape installed in 2010. 2010 origin X272694 Y2141464 +/-3m. The Exit was easiest by going south to the fence (approx. 200m) which was no longer maintained in 2015. Approximately 1/2 of this transect was uluhe. A machete was necessary and budget at least 1.5 days to complete. Azimuth adjustments were necessary due to dense uluhe. Transect azimuth is 137deg except for a few sections (540 - 600m 147deg; 660-800m 153deg; 800 - 1000m 156deg). 700-1000m of transect in Luhi (2003) burned area.,Transects enters 2003 Luhi burned area around 700m.
20110104140132-694607496.261597,HAVO,2011-01-04T14:01:35Z,2012-09-18T14:26:14Z,TRUE,Daemerson Awong,2011-01-13T15:04:59Z,TRUE,Alison Ainsworth,2012-09-18T14:26:06Z,2015 monitoring took 5.5 hours. 2010 origin X273149 Y2142528 +/-5m. Pig control in progress.,
20110104140525-405744910.240173,HAVO,2011-01-04T14:05:26Z,2012-09-18T14:42:01Z,TRUE,Daemerson Awong,2011-01-13T15:11:52Z,TRUE,Alison Ainsworth,2012-09-18T14:41:52Z,2010 origin X276730 Y2143566 +/-3m. Near FTPC F7. The start is ~400m inside the forested area. In Luhi (2003) wildfire burned area. Cinder substrate 800-1000m.,
20110104141808-714927077.293396,HAVO,2011-01-04T14:18:09Z,2012-09-18T15:07:00Z,TRUE,Daemerson Awong,2011-01-13T15:35:03Z,TRUE,Alison Ainsworth,2012-09-18T15:06:55Z,"Forest fire in 2011 burned most flagging. We originally tried to do transect from end to start, but ended up starting from the 0m mark and navigating with azimuth and GPS. Found old 0m post and retagged it. Flagged perfectly from 2010 between 0 and 200m. Replaced and retagged 400m post, installed 600m and 800m post, and replaced burnt 1000m post. 2010 origin X274844 Y2141110 +/-3m. This transect crosses the East Rift fenceline into unmanaged area at exactly 800m. Note that fenceline was compromised prior to time of sampling in 2010 so not ungulate free in SEA. The transect is within the Luhi 2003 burned area.",
20110104144620-546630382.537842,HAVO,2011-01-04T14:46:20Z,2012-09-18T13:46:39Z,TRUE,Daemerson Awong,2011-01-13T14:45:33Z,TRUE,Alison Ainsworth,2012-09-18T13:35:40Z,2010 origin X268466 Y2145169 +/- 3m.,
20110104145116-201244592.666626,HAVO,2011-01-04T14:51:22Z,2012-09-18T15:14:49Z,TRUE,Daemerson Awong,2011-01-13T15:38:06Z,TRUE,Alison Ainsworth,2012-09-18T15:14:45Z,"Very thick uluhe on hike to transect and on the transect itself. No machete needed though, as uluhe hasn't grown very high up the trees yet. Caution many lava cracks. See hard copy for map",
20110104145631-514270186.424255,HAVO,2011-01-04T14:56:35Z,2012-09-18T15:45:35Z,TRUE,Daemerson Awong,2011-01-13T15:47:46Z,TRUE,Alison Ainsworth,2012-09-18T15:45:30Z,~500m crosses Puhimau fenceline into unmanaged area,
20110104151029-271568596.363068,HAVO,2011-01-04T15:10:31Z,2012-11-13T08:47:44Z,TRUE,Daemerson Awong,2011-01-13T16:05:32Z,TRUE,Alison Ainsworth,2012-09-18T16:00:45Z,,Check 1000m location data may be a typo?
20110104152454-459249317.646027,HAVO,2011-01-04T15:24:59Z,2012-09-18T16:15:57Z,TRUE,Daemerson Awong,2011-01-13T16:12:03Z,TRUE,Alison Ainsworth,2012-09-18T16:15:53Z,Had to move Transect 17 from its original start location since the start is about 125m East of FTPC Plot 23R.,
20110104154034-411324739.456177,HAVO,2011-01-04T15:40:40Z,2012-09-18T16:27:14Z,TRUE,Daemerson Awong,2011-01-19T07:43:20Z,TRUE,Alison Ainsworth,2012-09-18T16:27:14Z,0-500m of transect in the Luhi 2003 burned area.,"0-500m is patchy burned edge.  Does not look that burned around 200m, but does look burned at 400m."
20110105092212-709037899.971008,HAVO,2011-01-05T09:22:13Z,2012-09-18T16:50:40Z,TRUE,Daemerson Awong,2011-01-19T07:53:40Z,TRUE,Alison Ainsworth,2012-09-18T16:50:31Z,Plot Runs up hill and we had to adjust azimuth from 315 to 300 due to the fact that 315 would have led us directly into the lava flow after about 100m. Transect is in cinder and from 700-1000m is in forest that burned in the Kupukupu 2002 and Luhi 2003 wildfires.,Transect is in cinder and from 700-1000m is in forest that burned in the Kupukupu 2002 and Luhi 2003 wildfires.
20110105093500-219409108.161926,HAVO,2011-01-05T09:35:04Z,2012-09-19T08:23:08Z,TRUE,Daemerson Awong,2011-01-19T08:23:37Z,TRUE,Alison Ainsworth,2012-09-19T08:23:02Z,Transect in forest that burned in the Kupukupu (2002) and Luhi (2003) wildfires.,
20110105102737-797012567.520142,HAVO,2011-01-05T10:27:38Z,2012-09-17T14:09:52Z,TRUE,Adam Mehlhorn,2011-01-25T15:38:40Z,TRUE,Alison Ainsworth,2012-09-17T14:09:48Z,2010 origin X263441 Y2156407 +/- 2.8m,Transect took two days to complete (12/22/2010 and 1/3/2011)
20110119084024-829801619.052887,HAVO,2011-01-19T08:40:33Z,2012-09-17T12:08:02Z,TRUE,Adam Mehlhorn,2011-01-25T10:52:07Z,TRUE,Alison Ainsworth,2012-09-17T12:07:59Z,,
20110124073135-862619340.419769,HAVO,2011-01-24T07:31:37Z,2012-09-18T13:51:01Z,TRUE,Adam Mehlhorn,2011-01-25T09:29:39Z,TRUE,Alison Ainsworth,2012-09-18T13:50:54Z,"There are a few earth cracks. We flagged the trail, most of which is just uluhe. To replicate trail, we followed flagging from 2010. Installed missing posts at 200 and 400m. There was often either extra tape (<20m between stations) or short tape (>20m between stations). 2010 origin X269668 Y2145525 +/- 3m and end 1000m X 270097 Y 2144624.",No actual posts at 200 and 400m only red/blue flagging on trees.  Took 2 days to complete the transect (1/11/11 and 1/20/11).
20110207100200-760723590.85083,HAVO,2011-02-07T10:02:02Z,2012-09-17T12:19:38Z,TRUE,Daemerson Awong,2011-05-09T10:22:52Z,TRUE,Alison Ainsworth,2012-09-17T12:19:36Z,,
20110727065132-579518616.199493,HAVO,2011-07-27T06:52:14Z,2012-11-02T12:42:14Z,TRUE,Melissa Simon,2011-12-08T08:54:48Z,TRUE,Alison Ainsworth,2012-11-02T12:42:12Z,"2011: GPS acting strange and not staying constant. Garmin 60CSX: UTM X 226775, Y 2130547; Error: +/-4m; Elevation: 1897m.",
20110809061759-579518616.199493,HAVO,2011-08-09T06:18:17Z,2012-11-02T14:21:00Z,TRUE,Melissa Simon,2011-11-21T11:00:12Z,TRUE,Alison Ainsworth,2012-11-02T14:20:57Z,,
20110809064021-533873081.207275,HAVO,2011-08-09T06:40:32Z,2012-11-02T14:17:21Z,TRUE,Melissa Simon,2011-11-21T09:57:33Z,TRUE,Alison Ainsworth,2012-11-02T14:17:19Z,,
20110809064608-404834151.268005,HAVO,2011-08-09T06:46:19Z,2012-11-02T14:02:17Z,TRUE,Melissa Simon,2011-11-21T08:43:19Z,TRUE,Alison Ainsworth,2012-11-02T14:02:15Z,,
20110809065615-169873476.028442,HAVO,2011-08-09T06:56:24Z,2012-11-02T14:10:41Z,TRUE,Melissa Simon,2011-11-21T09:26:16Z,TRUE,Alison Ainsworth,2012-11-02T14:10:38Z,Transect was read backwards.,
20110809070045-114623308.181763,HAVO,2011-08-09T07:00:56Z,2012-11-02T12:45:03Z,TRUE,Melissa Simon,2011-11-17T08:27:42Z,TRUE,Alison Ainsworth,2012-11-02T12:44:59Z,"2016: No problems, small gulch near TR start. Actual bearing/azimuth of plot is more like 312. 2011: Orange forest bird flagging present. Garmin 60CSX: UTM X 227643, Y 2131112; Error: +/-3m; Elevation: 1891m.",
20110809075914-226866006.851196,HAVO,2011-08-09T07:59:32Z,2012-11-02T14:19:22Z,TRUE,Melissa Simon,2011-11-21T10:13:00Z,TRUE,Alison Ainsworth,2012-11-02T14:19:19Z,,
20110809114054-56236863.1362915,HAVO,2011-08-09T11:41:15Z,2012-11-02T12:59:32Z,TRUE,Melissa Simon,2011-11-17T15:56:20Z,TRUE,Alison Ainsworth,2012-11-02T12:59:22Z,,
20110809125352-814490020.275116,HAVO,2011-08-09T12:54:22Z,2012-11-02T13:29:37Z,TRUE,Melissa Simon,2011-11-21T06:46:02Z,TRUE,Alison Ainsworth,2012-11-02T13:29:34Z,,
20110809133924-922954559.326172,HAVO,2011-08-09T13:39:37Z,2012-11-02T13:23:53Z,TRUE,Melissa Simon,2011-11-17T16:17:18Z,TRUE,Alison Ainsworth,2012-11-02T13:05:29Z,Transect read backwards.,
20110809142522-652376711.368561,HAVO,2011-08-09T14:25:33Z,2012-11-02T11:08:00Z,TRUE,Melissa Simon,2011-12-08T08:51:42Z,TRUE,Alison Ainsworth,2012-11-02T11:07:56Z,"2016: Elevation not entered. Transect bearing running a bit right of 175 degrees (about 180). Pigs active throughout transect. 2011: Transect located on ridge with denser METPOL cover. DA suggested recording collective grass cover in addition to presence/absence--will do for next transect. Later re-done for Transect 3. Only posts flagged. Garmin 60CSX: UTM X 218038, Y 2116011; Error: +/-2.9m; Elevation: 1143m.",
20110809144546-797012567.520142,HAVO,2011-08-09T14:46:03Z,2014-01-10T10:46:42Z,TRUE,Melissa Simon,2011-11-16T13:35:01Z,TRUE,Alison Ainsworth,2012-11-02T10:53:13Z,"2011: Only posts flagged. Garmin60CSX: UTM X 218834, Y 2114426; Error: +/-2.9m; Elevation: 985m.",
20110811070548-329735934.734344,HAVO,2011-08-11T07:06:04Z,2012-11-08T15:25:51Z,TRUE,Melissa Simon,2011-12-08T08:53:05Z,TRUE,Alison Ainsworth,2012-11-08T15:25:48Z,"2011: Archeological suvey conducted. No PVC used. Elevation not recorded on data sheet. GPS coordinates (Garmin 60CSX) UTM X 248393, Y 2157526",No PVC on posts.
20110811071625-114623308.181763,HAVO,2011-08-11T07:48:14Z,2012-11-02T13:26:08Z,TRUE,Melissa Simon,2011-12-08T08:11:16Z,TRUE,Alison Ainsworth,2012-11-02T13:18:03Z,,
20110811085143-169873476.028442,HAVO,2011-08-11T08:51:51Z,2012-11-02T11:21:36Z,TRUE,Melissa Simon,2011-11-21T13:20:01Z,TRUE,Alison Ainsworth,2012-11-02T11:21:32Z,"2016 could not find posts 200m and 250m followed existing flagging. 2011: only posts flagged. Garmin 60CSX: UTM X 217538, Y 2119328; Error: +/-3m; Elevation: 1382m.",
20110811090805-446993231.773376,HAVO,2011-08-11T09:08:15Z,2012-11-06T17:10:52Z,TRUE,Melissa Simon,2011-11-22T10:44:24Z,TRUE,Alison Ainsworth,2012-11-06T17:09:03Z,"2011: Garmin 60CSX; UTM X 230487, Y 2136448; Error: +/-2.8m; Elevation: 2175. Archeological survey - not sure why surveyed since it is on legacy Kahuku 20 Transect",
20110811093315-226866006.851196,HAVO,2011-08-11T09:33:30Z,2013-12-31T14:52:10Z,TRUE,Melissa Simon,2011-11-21T08:13:18Z,TRUE,Alison Ainsworth,2012-11-02T13:44:34Z,,
20110811094542-530212521.55304,HAVO,2011-08-11T09:45:49Z,2012-11-02T11:30:12Z,TRUE,Melissa Simon,2011-11-16T15:32:14Z,TRUE,Alison Ainsworth,2012-11-02T11:30:07Z,"2011: New line was established since Legacy Transect could not be located. We did NOT use re-bar metal posts on this transect and only used flagged/tagged PVC posts at each 50m point. This was communication from DA per AA to conserve remaining metal rods for plots in areas further from road. Metal rods can be added to this transect when more come in. Note this transect was dead at 128 degrees versus 308 degrees of other fixed in area. Started away from the road and read towards it. Garmin 60CSX: UTM X 220135, Y 2124401; Error: +/-3m; Elevation: 1714m.",
20110811095313-714816331.863403,HAVO,2011-08-11T09:53:28Z,2012-11-09T08:09:59Z,TRUE,Melissa Simon,2011-11-30T08:38:06Z,TRUE,Alison Ainsworth,2012-11-09T08:09:55Z,Changed azimuth to follow kipuka.,
20110830105309-579518616.199493,HAVO,2011-08-30T10:53:33Z,2012-11-08T15:34:52Z,TRUE,Melissa Simon,2011-12-08T08:56:11Z,TRUE,Alison Ainsworth,2012-11-08T15:34:46Z,Read transect backwards starting at 500m.,
20110830133852-378902554.512024,HAVO,2011-08-30T13:38:53Z,2012-11-08T15:13:02Z,TRUE,Melissa Simon,2011-11-28T14:17:04Z,TRUE,Alison Ainsworth,2012-11-08T15:12:58Z,"2016: Read plot backwards, consistent with 2011. Plot appears to be on a 202 bearing, not 192 as previously indicated. See above for azimuths used at each 100m section. 2011: Archeological survey conducted. No PVC used. Transect was read from 500 to 0m. Garmin 60CSX: UTM X 247073, Y 2156362; Error: +/-3m; Elevation: 2233m.",Transect was read backwards from 500 to 0m.  NO PVC only rebar.
20110830135445-390471458.435059,HAVO,2011-08-30T13:54:55Z,2012-11-02T12:48:47Z,TRUE,Melissa Simon,2011-11-17T15:02:04Z,TRUE,Alison Ainsworth,2012-11-02T12:48:41Z,"2016: moved 50m rebar from top of stump to under stump and flagged it. Reset 200m post as it was knocked out of ground to best guess. Next read should bring rebar for 0m, 150m, 200m, and 250m posts. 2011: New line established--no orange forest bird flagging present in photos. Traveled to end of a Kahuku road and used GPS to navigate to pre-exisiting Legacy RM Transect--Kahuku 16 using GPS and compass. Garmin 60CSX: UTM X 228929, Y 2132621; Error: +/-2m; Elevation: 1951m.",
20110830141740-538246333.599091,HAVO,2011-08-30T14:17:59Z,2012-11-02T12:51:19Z,TRUE,Melissa Simon,2011-11-17T15:19:41Z,TRUE,Alison Ainsworth,2012-11-02T12:51:17Z,"2016: Transect diverges from landbirds transect. End post under DRYWAL, might be difficult to locate. 2011: GPS fluctuating in accuracy from 2.8-8m. New line established--no orange forest bird flagging present in photos. Garmin 60CSX: UTM X 229929, Y 2133123; Error: +/-3m; Elevation: 1912m.",
20110906073909-579518616.199493,HAVO,2011-09-06T07:39:20Z,2012-11-02T14:14:28Z,TRUE,Melissa Simon,2011-11-21T09:46:46Z,TRUE,Alison Ainsworth,2012-11-02T14:14:25Z,,
20110906082913-462980031.967163,HAVO,2011-09-06T08:29:25Z,2012-11-09T08:29:24Z,TRUE,Melissa Simon,2011-11-29T16:24:59Z,TRUE,Alison Ainsworth,2012-11-09T08:29:11Z,,Pink flower Geranium sp. = Geranium cuneatum subsp. Hypoleucum
20110906124415-579518616.199493,HAVO,2011-09-06T12:44:23Z,2012-11-06T15:58:24Z,TRUE,Melissa Simon,2011-11-22T09:11:50Z,TRUE,Alison Ainsworth,2012-11-06T15:53:10Z,"2016: It is extremely dry. Almost all herbaceous vegetation is brown and dried out. This made some species IDs difficult. Transect was read from End to Start. 100-160m is in nice METPOL stand w/death. 200-300m is one of nicest stands of SOPCHR anywhere. 300m post is laid on the ground, not in ground. End 500m UTM X 212445, Y 2147043; Error: 4; GPS 64 st. 2005 Kahuku eg. survey transect winds. We kept a straight 100 degree azimuth. Our flagging may result in some confusion in future as we did not remove any old flagging. Near 100m, saw that Landbirds transect parallels 2005 Kahuku veg. transect. From 100m station on Transect 3, saw landbirds station about 80m away.",
20110907084009-536794066.429138,HAVO,2011-09-07T08:40:19Z,2014-01-07T11:08:44Z,TRUE,Melissa Simon,2011-11-16T14:47:50Z,TRUE,Alison Ainsworth,2012-11-02T10:46:49Z,"2016: No hard tag at 0m. New soft tags placed inside top of PVC. 250m end post was not located. New end point flagged and way point created. Pigs active throughout transect. 2011: All posts had blue flag tied high on post. Garmin 60CSX: UTM X 218410, Y 2115710; Error: +/-2.7m; Elevation: 1132m.",
20110907100146-378606200.218201,HAVO,2011-09-07T10:01:54Z,2012-11-02T14:57:51Z,TRUE,Melissa Simon,2011-11-16T16:18:41Z,TRUE,Alison Ainsworth,2012-11-02T11:46:11Z,"2016: Another flagged line parallels our transect starting at 150m, makes it confusing. 2011: Nearby Legacy transect flagged with faded orange and fresh blue flagging and does not follow 308 degree bearing well at all points. Garmin 60CSX: UTM X 221866, Y 2125581; Error: +/-2m; Elevation: 1745m.",
20110907133528-579518616.199493,HAVO,2011-09-07T13:35:49Z,2012-11-02T12:37:52Z,TRUE,Melissa Simon,2011-11-17T07:41:08Z,TRUE,Alison Ainsworth,2012-11-02T12:37:49Z,"2011: Landbird transect not flagged on straight line (of 308 degrees). EI Transect 10 runs at 308 degrees--no new flagging only red & blue together at stations (up high when possible and on PVC pipe). EI TR 10 plot 200m is about 7m away from Landbird Station 8. Garmin 60CSX: UTM X 226245, Y 2129713; Error: +/- 2m; Elevation: 1852m.",
20110915130854-284480273.723602,HAVO,2011-09-15T13:09:11Z,2012-11-02T13:41:30Z,TRUE,Melissa Simon,2011-11-21T07:47:13Z,TRUE,Alison Ainsworth,2012-11-02T13:38:59Z,,
20110915135815-492165625.095367,HAVO,2011-09-15T13:58:36Z,2021-03-05T14:12:18Z,TRUE,Melissa Simon,2011-12-08T08:43:55Z,TRUE,Alison Ainsworth,2012-11-06T16:47:49Z,"2011: Forgot to bring soft tags. Posts and flagging have transect info written in permanent marker. Trimble points not taken as unit froze up (but then recorded on a different date). Rebar only in 0m Post. Transect is actually an extension above Kahuku 18 Transect that was read by Benitez et al. in 2004-6. Elevation: 2129m; GPS Unit: Garmin 60CSX; GPS error: 2.8; UTM X 229161, Y 2134972",No soft tags and only rebar at 0m.
20110919093019-326206207.275391,HAVO,2011-09-19T09:30:29Z,2012-11-02T11:17:34Z,TRUE,Melissa Simon,2011-11-16T15:21:36Z,TRUE,Alison Ainsworth,2012-11-02T11:17:27Z,"2016: Used azimuth of 86 for 50-100m, azimuth of 92 for 100-150m. 2011: Garmin 60CSX UTM same as 2016 for x and y 2117192 with error +/-2m. Elevation 1202m. Turn right after 4th cattle guard and go all the way up to ~140m NW above transect.",
20110919135040-15682399.2729187,HAVO,2011-09-19T13:50:50Z,2012-11-02T11:50:14Z,TRUE,Melissa Simon,2011-11-17T07:28:47Z,TRUE,Alison Ainsworth,2012-11-02T11:50:11Z,"2011: Transect follows legacy resources management transect Kahuku 7 and recently surveyed I&M Landbirds Transect LB7. Garmin 60CSX: UTM X 222618, Y 2126229; Error: +/-2m; Elevation: 1797m.",No post photos taken.
20110919150808-441216230.392456,HAVO,2011-09-19T15:08:23Z,2013-12-31T14:52:50Z,TRUE,Melissa Simon,2011-11-16T15:54:42Z,TRUE,Alison Ainsworth,2012-11-02T11:35:32Z,"2016: 100-150m tape ran at azimuth 296 to avoid uluhe patch. 200-250m tape ran at 296--transect seems to merge with ""legacy transect"" running nearby. 2011: Original start moved about 20m to be off road and within wet forest community. Transect parallels old forest bird transect with orange flagging. Invasive flowering Senecio madagascarensis just out of 0m mark on right side. Garmin 60CSX: UTM X 221061, Y 2124944; Error: +/-3m; Elevation: 1729m.",
20110920151508-428456366.062164,HAVO,2011-09-20T15:15:21Z,2012-11-09T09:06:53Z,TRUE,Melissa Simon,2011-11-30T10:08:44Z,TRUE,Alison Ainsworth,2012-11-09T09:06:37Z,"Trimble start: x232327.81 y2141699.88, Error 1.1m, PDOP 2.98   Trimble end: x232205.48 y2142178.01, Error 60cm, PDOP 1.97",
20110921063104-579518616.199493,HAVO,2011-09-21T06:31:13Z,2012-11-08T14:53:45Z,TRUE,Melissa Simon,2011-11-28T13:51:23Z,TRUE,Alison Ainsworth,2012-11-08T14:53:44Z,"2011: Transect is actually an extension above RM Kahuku 24 Transect that was read by Benitez et al. in 2004-6. Trimble Start: UTM X 231855.85; Y 2140418.30; Error: - 61cm. PDOP 2.08 Trimble End: UTM X 232256.22, Y 2140136.98; Error: - 58cm. PDOP 2.01. Garmin 60CSX: UTM X 231854, Y 2140423; Error: +/-2m; Elevation: 2382m.",
20110921072606-705547511.577606,HAVO,2011-09-21T07:26:15Z,2012-11-13T08:51:01Z,TRUE,Melissa Simon,2011-11-30T09:36:11Z,TRUE,Alison Ainsworth,2012-11-09T07:59:52Z,"Trimble Start: X 231461.88 Y 2138587.75, Error 57cm, PDOP: 1.97  Trimble End: X 231927.78 Y 2138427.77, Error 59cm, PDOP: 1.71",
20110921133538-579518616.199493,HAVO,2011-09-21T13:36:01Z,2012-11-06T12:55:33Z,TRUE,Daemerson Awong,2011-11-21T16:11:55Z,TRUE,Alison Ainsworth,2012-11-06T12:54:19Z,"2016: GPS says azimuth is 156 degrees, however tag and former data sheet says 128. Azimuth of 128 degrees worked between 0m and 100m. After that it is no longer accurate. We followed 128 degrees from 100m to 200m since we weren't sure which flagging was ours (landbird transect is nearby) and neither flagging was along 128 degrees--ended up almost 45 degrees off from 0 post. Followed flagging after that, which was in the 110-116 degree range, and were able to find posts. 2011: Recent blue flags of Landbird survey run very close to our line. We tied blue flagging directly over our EI transect line only. Flagging already present may be confusing. Transect read in the SE direction back towards road. Proposed Transect 2 was in the Interior and West and as ejected during helicopter flight due to no vegetation and moved to this location in the East unit. GPS Unit: Garmin 60CSX;  Elevation: 2172 m; GPS error: 6.1; UTM X 231720, Y 2138022.","As noted on the location form, this transect was moved from the proposed TR2 in the interior to the East during the archeological survey."
20110922083609-579518616.199493,HAVO,2011-09-22T08:36:17Z,2015-01-06T11:42:15Z,TRUE,Daemerson Awong,2011-12-01T10:08:35Z,TRUE,Alison Ainsworth,2012-11-09T08:42:32Z,,
20111012091752-579518616.199493,HAVO,2011-10-12T09:18:44Z,2012-11-02T13:32:20Z,TRUE,Melissa Simon,2011-11-21T07:21:23Z,TRUE,Alison Ainsworth,2012-11-02T13:32:16Z,,
20111012150622-705547511.577606,HAVO,2011-10-12T15:06:51Z,2012-11-02T12:47:24Z,TRUE,Melissa Simon,2011-11-17T12:52:14Z,TRUE,Alison Ainsworth,2012-11-02T12:47:21Z,"2011: Landbird flagging present. Garmin 60CSX: UTM X 228432, Y 2131779; Error: +/-4m; Elevation: 1877m.",
20111017133948-579518616.199493,HAVO,2011-10-17T13:40:20Z,2012-11-09T08:50:19Z,TRUE,Melissa Simon,2011-12-08T08:57:26Z,TRUE,Alison Ainsworth,2012-11-09T08:50:18Z,Read transect backwards from 500 to 0m.,Read transect backwards from 500 to 0m.
20111018134013-579518616.199493,HAVO,2011-10-18T13:43:14Z,2012-11-13T08:48:59Z,TRUE,Melissa Simon,2011-11-22T13:22:23Z,TRUE,Alison Ainsworth,2012-11-09T07:47:00Z,"Transect runs alongside old trail, comes within 1m of it @160m and crosses it @185m.  Trimble Start: X- 247503.36,  Y- 2158867.06,  ERR- 57cm,  PDOP- 2.08    Trimble End: X- 247029.41,  Y- 2158997.96,  ERR-  78cm,  PDOP- 2.57",No invasive species recorded
20111019082128-289562463.760376,HAVO,2011-10-19T08:22:35Z,2012-11-02T14:08:52Z,TRUE,Melissa Simon,2011-11-21T08:59:31Z,TRUE,Alison Ainsworth,2012-11-02T14:08:48Z,Started ~ 8m NW of proposed point to avoid starting transect on State forest land.  Transect starts on NPS land on mauka side of exclusion fence.,
20111019134724-22629201.4122009,HAVO,2011-10-19T13:48:12Z,2012-11-06T16:21:30Z,TRUE,Melissa Simon,2011-11-22T10:45:15Z,TRUE,Alison Ainsworth,2012-11-06T16:21:28Z,"2011: Transect is actually an extension above Kahuku 15 Transect that was read by Benitez et al. in 2004-6.Took 2 hrs 15 minutes to complete. GPS Unit: Garmin 60CSX; GPS Error: 2.8m; UTM X 225963, Y 2133683","(Trimble Start: X-225963.61, Y-2133681.51      Trimble End: X-226366.39, Y-2133395.14)"
20111020081841-948571085.929871,HAVO,2011-10-20T08:19:26Z,2012-11-06T17:17:00Z,TRUE,Melissa Simon,2011-12-08T08:59:28Z,TRUE,Alison Ainsworth,2012-11-06T17:16:55Z,"2011: Transect is actually an extension above RM Kahuku 21 Transect that was read by Benitez et al. in 2004-6. Transect took about 2hrs to complete. Garmin: 60CSX; UTM X 230937, Y 2137355; Error: +/-2.6; Elevation: 2195m.",
20111116072230-579518616.199493,HAVO,2011-11-16T07:24:17Z,2012-11-08T16:25:53Z,TRUE,Melissa Simon,2011-11-22T13:02:11Z,TRUE,Alison Ainsworth,2012-11-08T16:25:50Z,,
