Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Quad,Status,Top,Base,Base_Ht,Distance,Height,Method,DBH,Life_Form,Nativity,Scientific_Name,Code,Comments,Certified,Verified
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,56,FALSE,3,Live,82,5,1.5,8.3,7.891,Clinometer,21.5,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Rotational,43,FALSE,1,Live,65,-39,0,15.8,16.432,Clinometer,90.3,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,1,FALSE,2,Live,47,-5,0,13,6.76,Clinometer,26.8,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,12,FALSE,3,Live,94,-12,0,16.1,17.066,Clinometer,22.6,Tree,Native,Ilex anomala,ILEANO,Q3 #3,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,53,FALSE,1,Live,80,-15,0,20.1,19.095000000000002,Clinometer,28,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,50,FALSE,2,Live,83,3,0,10.6,8.48,Clinometer,12.9,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,7,FALSE,2,Live,80,-18,0,9,8.82,Clinometer,10.1,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,49,FALSE,1,Live,40,-4,0,12.6,5.5440000000000005,Other,24.5,Tree,Native,Ilex anomala,ILEANO,Approx 11m,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,55,FALSE,1,Live,55,-13,0,11.8,8.024000000000001,Clinometer,8.1,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,57,FALSE,2,Live,98,-9,0,9.1,9.737,Clinometer,24.5,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,57,FALSE,2,Live,92,-9,1.5,10.2,11.802,Clinometer,17.8,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,43,FALSE,2,Live,90,-20,0,7.5,8.25,Clinometer,12,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Rotational,54,FALSE,4,Live,74,-24,0,15.2,14.895999999999999,Clinometer,23.5,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,5,FALSE,2,Live,120,-30,0,6.8,10.200000000000001,Clinometer,12.6,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Fixed,2,FALSE,1,Live,90,-1,0,17,15.47,Clinometer,23.2,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,15,FALSE,3,Live,65,8,0,16,9.120000000000001,Clinometer,40,Tree,Native,Ilex anomala,ILEANO,Q3 #2,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,10,FALSE,3,Live,80,-2,0,13.2,10.824,Clinometer,14.4,Tree,Native,Ilex anomala,ILEANO,Q3 TC#2,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,11,FALSE,3,Live,62,-6,0,8.3,5.644,Clinometer,10.6,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,11,FALSE,3,Live,80,-16,0,8.7,8.352,Clinometer,17,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Rotational,34,FALSE,4,Live,72,-20,0,19,17.48,Clinometer,38,Tree,Native,Ilex anomala,ILEANO,2nd bole 24.5,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,6,FALSE,4,Live,122,-10,0,11.5,15.180000000000001,Clinometer,15.8,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,6,FALSE,3,Live,82,-8,0,8.4,7.5600000000000005,Clinometer,8.1,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,46,FALSE,2,Live,86,-5,0,9,8.19,Clinometer,11.8,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,10,FALSE,4,Live,135,-10,0,7.7,11.165,Clinometer,24.6,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Rotational,41,FALSE,2,Live,62,-10,0,13.7,9.863999999999999,Clinometer,9.5,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Rotational,36,FALSE,1,Live,22,-9,1.4,6.4,3.384,Clinometer,14.4,Tree,Native,Ilex anomala,ILEANO,DBH Total of X3 Boles,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2011,1,Rotational,25,FALSE,2,Live,90,-10,0,10,10,Clinometer,27.8,Tree,Native,Ilex anomala,ILEANO,Measured to top of main dead stem,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,40,FALSE,1,Live,130,-3,0,11.5,15.295,Clinometer,33,Tree,Native,Ilex anomala,ILEANO,DBH Linear Estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,6,FALSE,3,Live,70,-13,0,11.6,9.628,Clinometer,11.3,Tree,Native,Ilex anomala,ILEANO,Q3-4,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,41,FALSE,3,Live,130,-6,1.4,10.1,15.136,Clinometer,22.8,Tree,Native,Ilex anomala,ILEANO,"2 boles, second bole 17.7cm",TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Rotational,46,FALSE,3,Live,45,-6,1.6,24,13.84,Clinometer,18.9,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Rotational,16,FALSE,,Live,70,-2,0,17,12.24,Clinometer,,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Rotational,16,FALSE,,Live,55,-3,0,15,8.7,Clinometer,,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,2,FALSE,,Live,104,-10,0,13,14.82,Clinometer,,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,1,FALSE,,Live,71,-11,0,10.5,8.61,Clinometer,,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,7,FALSE,,Live,94,-7,0,13,13.13,Clinometer,,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,6,FALSE,4,Live,,,,,12.5,Occular Estimate,,Tree,Native,Ilex anomala,ILEANO,Q4 estimated based on Chetri next to it at 13.5m,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Rotational,24,FALSE,,Live,80,-22,0,8,8.16,Clinometer,,Tree,Native,Ilex anomala,ILEANO,Top and bottom % were averaged because they were taken by  two surveyors,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,9,FALSE,,Live,65,-9,0,14.2,10.508,Clinometer,9,Tree,Native,Ilex anomala,ILEANO,second stem =7.6cm,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,26,FALSE,2,Live,72,-31,0,10,10.3,Clinometer,21.9,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,10,FALSE,1,Live,96,1,2,10,11.5,Clinometer,53,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2010,1,Fixed,12,FALSE,1,Live,105,-5,1,8.9,9.790000000000001,Clinometer,18.7,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,1,FALSE,2,Live,41,-26,0,12,8.04,Clinometer,30.5,Tree,Native,Ilex anomala,ILEANO,2 boles,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,1,FALSE,3,Live,123,-9,0,9,11.879999999999999,Clinometer,42.3,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,4,FALSE,2,Live,100,-3,0,17,17.51,Clinometer,25.5,Tree,Native,Ilex anomala,ILEANO,original readings taken in degrees with compass. Top and base percents were corrected using a clinometer,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,4,FALSE,2,Live,71,-5,0,15,11.4,Clinometer,32.5,Tree,Native,Ilex anomala,ILEANO,original readings taken in degrees with compass. Top and base percents were corrected using a clinometer,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,17,FALSE,1,Live,112,-24,0,10,13.600000000000001,Clinometer,26.9,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,19,FALSE,2,Live,100,-15,0,10,11.5,Clinometer,27.5,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,19,FALSE,4,Live,90,-18,0,11,11.88,Clinometer,44.9,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,2,FALSE,2,Live,137,-33,0,7,11.9,Clinometer,20.6,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,59,FALSE,2,Live,103,4,1.5,10,11.4,Clinometer,14.7,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,51,FALSE,2,Live,70,-25,0,6.3,5.985,Clinometer,5.3,Tree,Native,Ilex anomala,ILEANO,2 boles other bole dbh is 4.9,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,12,FALSE,3,Live,92,-7,0,11.2,11.088,Clinometer,17.9,Tree,Native,Ilex anomala,ILEANO,Clinometer Foggy,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,42,FALSE,4,Live,145,10,2,14.5,21.575,Clinometer,73,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,11,FALSE,1,Live,104,-15,2,10.6,14.613999999999999,Clinometer,22,Tree,Native,Ilex anomala,ILEANO,lgest DBH of X5 Boles,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,11,FALSE,3,Live,128,-6,2,12.2,18.348,Clinometer,63,Tree,Native,Ilex anomala,ILEANO,DBH Linear Estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,15,FALSE,3,Live,126,-6,0,8.4,11.088000000000001,Clinometer,31.6,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Fixed,1,FALSE,1,Live,38,-23,0,12.9,7.869,Clinometer,21,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,33,FALSE,3,Live,75,5,1.4,11.5,9.450000000000001,Clinometer,14.4,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,13,FALSE,4,Live,106,4,0,12.8,13.056000000000001,Clinometer,15.5,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,25,FALSE,4,Live,108,-22,0,6,7.8,Clinometer,6.3,Tree,Native,Ilex anomala,ILEANO,too small,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,41,FALSE,4,Live,45,-45,0,10,9,Clinometer,,Tree,Native,Dysoxylum huntii,DYSHUN,DBH not recorded,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,13,FALSE,4,Live,9,-80,0,15,13.35,Clinometer,33.7,Tree,Native,Dysoxylum huntii,DYSHUN,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,12,FALSE,3,Live,61,-64,0,11,13.75,Clinometer,28.2,Tree,Native,Dysoxylum huntii,DYSHUN,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,8,FALSE,4,Live,69,-70,0,8,11.120000000000001,Clinometer,36.5,Tree,Native,Dysoxylum huntii,DYSHUN,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,39,FALSE,4,Live,75,-35,0,8,8.8,Clinometer,22.3,Tree,Native,Dysoxylum huntii,DYSHUN,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,32,FALSE,3,Live,150,-17,0,27,45.09,Clinometer,69.4,Tree,Native,Bischofia javanica,BISJAV,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,40,FALSE,3,Live,110,21,1,13,12.57,Clinometer,59.2,Tree,Native,Bischofia javanica,BISJAV,"2 boles (31.3, 27.9)",TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,4,FALSE,4,Live,24,-55,0,8,6.32,Clinometer,11.9,Tree,Native,Bischofia javanica,BISJAV,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,28,FALSE,2,Live,94,-64,0,13,20.54,Clinometer,48,Tree,Native,Bischofia javanica,BISJAV,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Rotational,20,FALSE,2,Live,80,-11,1.4,11.5,11.865,Clinometer,24.4,Tree,Native,Bischofia javanica,BISJAV,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,8,FALSE,2,Live,65,-25,1.31,15.6,15.35,Clinometer,45,Tree,Native,Bischofia javanica,BISJAV,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,1,Live,53,-34,1.4,26.6,24.542,Clinometer,90,Tree,Native,Bischofia javanica,BISJAV,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2013,1,Rotational,23,FALSE,4,Live,100,7,1,9.8,10.114,Clinometer,40.6,,Native,Syzygium sandwicense,SYZSAN2,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,5,FALSE,2,Live,60,-21,0,9.3,7.533000000000001,Clinometer,13.5,Tree,Native,Pandanus tectorius,PANTEC,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,5,FALSE,1,Live,41,-23,0,7.3,4.672,Clinometer,11.7,Tree,Native,Pandanus tectorius,PANTEC,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,5,FALSE,2,Live,110,0,1.4,9,11.3,Clinometer,13.2,Tree,Native,Pandanus tectorius,PANTEC,DBH measured at root crown,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,5,FALSE,2,Live,60,-20,0,8.5,6.800000000000001,Clinometer,13.7,Tree,Native,Pandanus tectorius,PANTEC,DBH measured 1.4m above root crown,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,5,FALSE,2,Live,104,5,2,8.5,10.415000000000001,Clinometer,12.1,Tree,Native,Pandanus tectorius,PANTEC,DBH measured ~2m below root crown,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,5,FALSE,2,Live,120,-22,0,7,9.940000000000001,Clinometer,13.6,Tree,Native,Pandanus tectorius,PANTEC,DBH measured at root crown,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,3,FALSE,2,Live,16,-67,0,10.75,8.9225,Clinometer,15.2,Tree,Native,Pandanus tectorius,PANTEC,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,3,FALSE,3,Live,42,-38,0,0,9,Clinometer,14,Tree,Native,Pandanus tectorius,PANTEC,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,18,FALSE,4,Live,111,-18,0,9.5,12.255,Clinometer,20.9,,Non-Native,Chrysophyllum cainato,CHRCAI,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,5,FALSE,4,Live,82,27,0,12,6.6,Clinometer,30.8,Tree,Native,Planchonella garberi,PLAGAR,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,45,FALSE,3,Live,50,-7,0,7,3.99,Clinometer,10.3,Tree,Native,Sarcopygme pacifica,SARPAC,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,1,FALSE,2,Live,60,-48,1.4,9,11.12,Clinometer,47,Tree,Native,Hernandia moerenhoutiana,HERMOE,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,1,FALSE,2,Live,99,11,0,14,12.32,Clinometer,48.5,Tree,Native,Hernandia moerenhoutiana,HERMOE,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,4,FALSE,1,Live,138,-15,0,10.6,16.218,Clinometer,88.1,Tree,Native,Casuarina equisetifolia,CASEQU,6 boles,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,4,FALSE,2,Live,149,-9,0,14.1,22.278,Clinometer,62.1,Tree,Native,Casuarina equisetifolia,CASEQU,"5 boles, 2nd bole dead.",TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,1,FALSE,1,Live,104,-10,0,14.1,16.073999999999998,Clinometer,74.8,Tree,Native,Casuarina equisetifolia,CASEQU,"Two boles: 46.5, 28.3",TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,2,FALSE,1,Live,145,-5,0,16,24,Clinometer,141.3,Tree,Native,Casuarina equisetifolia,CASEQU,"three boles: 53.5, 44.6, 43.2",TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,3,FALSE,3,Live,82,1,1.4,16.3,14.603000000000002,Clinometer,42.3,Tree,Native,Casuarina equisetifolia,CASEQU,2 boles,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,3,FALSE,3,Live,85,-15,0,7.4,7.400000000000001,Clinometer,18.6,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,6,FALSE,1,Live,120,-10,0,18,23.4,Clinometer,16.7,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,7,FALSE,4,Dead,35,-19,0,9.6,5.184,Clinometer,10,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,7,FALSE,1,Live,122,-4,2.5,19.2,26.692,Clinometer,139.7,Tree,Native,Casuarina equisetifolia,CASEQU,DBH is linear estimate and 2 boles.,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,7,FALSE,2,Live,134,-10,0,14.6,21.023999999999997,Clinometer,88,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,4,FALSE,2,Live,142,12,1.73,15,21.23,Clinometer,43,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,10,FALSE,1,Live,110,-2,1.4,18.8,22.456,Clinometer,82,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,10,FALSE,Outside,Live,92,-8,0,19.5,19.5,Clinometer,51,Tree,Native,Casuarina equisetifolia,CASEQU,9m outside of plot,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,2,FALSE,2,Live,84,0,2,12,12.08,Clinometer,34,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Rotational,11,FALSE,4,Live,133,-13,0,11.6,16.936,Clinometer,25.5,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Rotational,11,FALSE,1,Live,121,-11,0,11.9,15.708000000000002,Clinometer,27.8,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,17,FALSE,1,Live,138,1,0,12.5,17.125,Clinometer,18.7,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,17,FALSE,2,Live,120,-29,0,13,19.37,Clinometer,18.8,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,17,FALSE,4,Live,144,-15,0,9.3,14.787000000000003,Clinometer,15,Tree,Native,Casuarina equisetifolia,CASEQU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,8,FALSE,1,Live,75,-37,0,11,12.32,Clinometer,17.5,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,4,FALSE,3,Live,64,-80,0,11.3,16.272000000000002,Clinometer,28.7,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,11,FALSE,4,Live,54,-53,1.4,19.5,22.265,Clinometer,38.7,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,4,Live,64,-69,0,14.1,18.752999999999997,Clinometer,20.1,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,20,FALSE,2,Live,72,-34,0,13.6,14.416,Clinometer,21,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,16,FALSE,2,Live,60,-60,0,19,22.8,Clinometer,38.1,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,37,FALSE,2,Live,100,25,0,12,9,Clinometer,32.5,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,11,FALSE,4,Live,80,-37,0,17,19.89,Clinometer,40.9,Tree,Native,Myristica inutilis,MYRINU,,TRUE,TRUE
