Unit_Code,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,Azimuth_Plot,QA_Plot,Start_Lat,Start_Long,Center_Lat,Center_Long,End_Lat,End_Long,GCS,Lat_Dir,Long_Dir,Certified,Verified
HALE,Haleakala,Haleakalā,2017,2,Rotational,37,250,FALSE,20.738895,-156.234168,20.738826,-156.234361,20.738739,-156.234593,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Kahuku,Kahuku,2016,2,Rotational,36,190,FALSE,19.153111,-155.685512,19.152893,-155.685556,19.152685,-155.6856,World Geodetic System 1984,North,West,TRUE,TRUE
NPSA,Tau,Ta‘ū,2018,2,Fixed,15,58,FALSE,-14.23738,-169.45973,-14.23729,-169.45949,-14.23718,-169.45934,World Geodetic System 1984,South,West,TRUE,TRUE
KAHO,Kaloko-Honokohau,Kaloko-Honokōhau,2022,3,Rotational,21,305,FALSE,19.68545,-156.032963,19.685483,-156.033063,19.685537,-156.033134,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2018,2,Rotational,40,70,FALSE,20.703271,-156.097128,20.703394,-156.096943,20.703444,-156.096693,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,17,102,FALSE,21.130857,-156.909771,21.130801,-156.90956,21.13078,-156.909358,World Geodetic System 1984,North,West,TRUE,TRUE
NPSA,Tau,Ta‘ū,2018,2,Rotational,33,238,FALSE,-14.23222,-169.48003,-14.23234,-169.48018,-14.23245,-169.48033,World Geodetic System 1984,South,West,TRUE,TRUE
HAVO,Kahuku,Kahuku,2016,2,Rotational,43,268,FALSE,19.266131,-155.581804,19.266154,-155.582052,19.26616,-155.58228,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Kahuku,Kahuku,2022,3,Rotational,59,55,FALSE,19.272307,-155.57169,19.272218,-155.57187,19.271962,-155.57198,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Mauna Loa,Mauna Loa,2016,2,Rotational,41,177,FALSE,19.260726,-155.63779,19.260482,-155.637796,19.260265,-155.637802,World Geodetic System 1984,North,West,TRUE,TRUE
NPSA,Tutuila,Tutuila,2018,2,Rotational,34,335,FALSE,-14.26039,-170.69896,-14.26019,-170.69902,-14.25997,-170.69916,World Geodetic System 1984,South,West,TRUE,TRUE
KALA,Hoolehua,Hoʻolehua,2017,2,Rotational,20,296,FALSE,21.21267,-156.969056,21.212633,-156.96896,21.212596,-156.968883,World Geodetic System 1984,North,West,TRUE,TRUE
NPSA,Tau,Ta‘ū,2018,2,Rotational,38,96,FALSE,-14.24193,-169.43013,-14.24199,-169.4299,-14.24204,-169.42967,World Geodetic System 1984,South,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2021,3,Rotational,49,200,FALSE,19.403318,-155.247217,19.403138,-155.247255,19.402932,-155.247387,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2017,2,Fixed,13,212,FALSE,20.723747,-156.189707,20.72356,-156.189845,20.723409,-156.189963,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2013,1,Fixed,13,212,FALSE,20.723747,-156.189707,20.72356,-156.189845,20.723409,-156.189963,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Mauna Loa,Mauna Loa,2016,2,Rotational,38,3,FALSE,19.231087,-155.694981,19.231313,-155.694956,19.231539,-155.694932,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2017,2,Fixed,1,276,FALSE,20.690452,-156.088076,20.690483,-156.088306,20.690514,-156.088535,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2012,1,Fixed,1,276,FALSE,20.690452,-156.088076,20.690483,-156.088306,20.690514,-156.088535,World Geodetic System 1984,North,West,TRUE,TRUE
NPSA,Tutuila,Tutuila,2018,2,Rotational,36,269,FALSE,-14.25243,-170.68057,-14.25248,-170.68074,-14.25245,-170.68103,World Geodetic System 1984,South,West,TRUE,TRUE
NPSA,Tau,Ta‘ū,2018,2,Rotational,34,272,FALSE,-14.23638,-169.43813,-14.2364,-169.43835,-14.23641,-169.43855,World Geodetic System 1984,South,West,TRUE,TRUE
HAVO,Mauna Loa,Mauna Loa,2022,3,Rotational,53,182,FALSE,19.290948,-155.575137,19.290717,-155.575162,19.290495,-155.575175,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2017,2,Fixed,3,20,FALSE,20.711189,-156.098819,20.711349,-156.098672,20.711564,-156.098601,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2012,1,Fixed,3,20,FALSE,20.711189,-156.098819,20.711349,-156.098672,20.711564,-156.098601,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Rotational,39,277,FALSE,19.485473,-155.226853,19.485533,-155.227111,19.485503,-155.22732,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2013,1,Rotational,28,137,FALSE,20.76258,-156.240033,20.762388,-156.239921,20.762259,-156.239732,World Geodetic System 1984,North,West,TRUE,TRUE
NPSA,Tutuila,Tutuila,2018,2,Rotational,38,226,FALSE,-14.26132,-170.67876,-14.26146,-170.67894,-14.26161,-170.67908,World Geodetic System 1984,South,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2021,3,Rotational,55,28,FALSE,19.395042,-155.229237,19.395237,-155.229143,19.395448,-155.229022,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2013,1,Fixed,6,320,FALSE,20.706223,-156.108987,20.706371,-156.109147,20.706526,-156.109288,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2017,2,Fixed,6,320,FALSE,20.706223,-156.108987,20.706371,-156.109147,20.706526,-156.109288,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Kalawao,Kalawao,2017,2,Fixed,1,253,FALSE,21.194568,-156.953142,21.194521,-156.953247,21.194488,-156.953343,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Kalawao,Kalawao,2012,1,Fixed,1,253,FALSE,21.194568,-156.953142,21.194521,-156.953247,21.194488,-156.953343,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Hoolehua,Hoʻolehua,2017,2,Fixed,1,100,FALSE,21.209774,-156.964717,21.209792,-156.964813,21.209774,-156.964717,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Hoolehua,Hoʻolehua,2012,1,Fixed,1,100,FALSE,21.209774,-156.964717,21.209792,-156.964813,21.209774,-156.964717,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2012,1,Fixed,2,192,FALSE,20.767202,-156.244882,20.766993,-156.244949,20.766758,-156.244993,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2017,2,Fixed,2,192,FALSE,20.767202,-156.244882,20.766993,-156.244949,20.766758,-156.244993,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Rotational,46,267,FALSE,19.474163,-155.235005,19.474058,-155.235245,19.474117,-155.235518,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Mauna Loa,Mauna Loa,2016,2,Rotational,33,97,FALSE,19.496383,-155.391734,19.496386,-155.391506,19.496344,-155.391267,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2012,1,Fixed,7,5,FALSE,20.746357,-156.248514,20.746594,-156.248481,20.746798,-156.24842,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2017,2,Fixed,7,5,FALSE,20.746357,-156.248514,20.746594,-156.248481,20.746798,-156.24842,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Hoolehua,Hoʻolehua,2017,2,Rotational,17,72,FALSE,21.211353,-156.967668,21.211388,-156.967571,21.211414,-156.967484,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2012,1,Rotational,27,224,FALSE,20.757124,-156.249442,20.757019,-156.249655,20.756849,-156.249755,World Geodetic System 1984,North,West,TRUE,TRUE
WAPA,Guam,Guam,2019,2,Rotational,17,7,FALSE,13.46714,144.71031,13.46735,144.71037,13.46756,144.71037,World Geodetic System 1984,North,East,TRUE,TRUE
HALE,Haleakala,Haleakalā,2017,2,Fixed,3,208,FALSE,20.75213,-156.214031,20.751949,-156.214156,20.751798,-156.214252,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Haleakala,Haleakalā,2012,1,Fixed,3,208,FALSE,20.75213,-156.214031,20.751949,-156.214156,20.751798,-156.214252,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2017,2,Fixed,12,346,FALSE,20.706021,-156.112493,20.706212,-156.112576,20.706412,-156.112658,World Geodetic System 1984,North,West,TRUE,TRUE
HALE,Kipahulu District,Kīpahulu District,2012,1,Fixed,12,346,FALSE,20.706021,-156.112493,20.706212,-156.112576,20.706412,-156.112658,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Kahuku,Kahuku,2016,2,Rotational,37,235,FALSE,19.191311,-155.662295,19.191208,-155.662493,19.191116,-155.662663,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Rotational,40,288,FALSE,19.346615,-155.151767,19.346713,-155.15194,19.346773,-155.152188,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Rotational,16,334,FALSE,19.497466,-155.263779,19.497631,-155.263878,19.497801,-155.263973,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,1,119,FALSE,19.499102,-155.255298,19.499014,-155.255106,19.498908,-155.254914,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,1,119,FALSE,19.499102,-155.255298,19.499014,-155.255106,19.498908,-155.254914,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,1,119,FALSE,19.499102,-155.255298,19.499014,-155.255106,19.498908,-155.254914,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,2,46,FALSE,19.501751,-155.247782,19.501951,-155.247661,19.502197,-155.247493,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,2,46,FALSE,19.501751,-155.247782,19.501951,-155.247661,19.502197,-155.247493,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,2,46,FALSE,19.501751,-155.247782,19.501951,-155.247661,19.502197,-155.247493,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,6,0,FALSE,19.470916,-155.248537,19.471116,-155.248501,19.471305,-155.248523,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,6,0,FALSE,19.470916,-155.248537,19.471116,-155.248501,19.471305,-155.248523,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,6,0,FALSE,19.470916,-155.248537,19.471116,-155.248501,19.471305,-155.248523,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,7,75,FALSE,19.506211,-155.255911,19.506286,-155.255664,19.506307,-155.255455,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,7,75,FALSE,19.506211,-155.255911,19.506286,-155.255664,19.506307,-155.255455,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,7,75,FALSE,19.506211,-155.255911,19.506286,-155.255664,19.506307,-155.255455,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Rotational,24,190,FALSE,19.496749,-155.266494,19.496523,-155.266529,,,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Rotational,30,32,FALSE,19.496316,-155.267897,19.496516,-155.267776,19.496716,-155.267665,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,9,131,FALSE,19.511359,-155.247914,19.511262,-155.247751,19.51112,-155.247587,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,9,131,FALSE,19.511359,-155.247914,19.511262,-155.247751,19.51112,-155.247587,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,9,131,FALSE,19.511359,-155.247914,19.511262,-155.247751,19.51112,-155.247587,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,3,299,FALSE,19.344533,-155.139113,19.344648,-155.139333,19.344727,-155.139525,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,3,299,FALSE,19.344533,-155.139113,19.344648,-155.139333,19.344727,-155.139525,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,8,233,FALSE,19.351224,-155.130826,19.351105,-155.130977,19.350949,-155.131193,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,8,233,FALSE,19.351224,-155.130826,19.351105,-155.130977,19.350949,-155.131193,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,4,92,FALSE,19.512456,-155.232328,19.51245,-155.23207,19.512381,-155.231784,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,4,92,FALSE,19.512456,-155.232328,19.51245,-155.23207,19.512381,-155.231784,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,4,92,FALSE,19.512456,-155.232328,19.51245,-155.23207,19.512381,-155.231784,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,11,355,FALSE,19.359043,-155.167785,19.359259,-155.167902,19.359474,-155.168019,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,11,355,FALSE,19.359043,-155.167785,19.359259,-155.167902,19.359474,-155.168019,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,8,176,FALSE,19.514947,-155.23901,19.51473,-155.239026,19.514468,-155.239042,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,8,176,FALSE,19.514947,-155.23901,19.51473,-155.239026,19.514468,-155.239042,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,8,176,FALSE,19.514947,-155.23901,19.51473,-155.239026,19.514468,-155.239042,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,2,107,FALSE,19.358782,-155.154773,19.35864,-155.15458,19.358616,-155.154314,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,2,107,FALSE,19.358782,-155.154773,19.35864,-155.15458,19.358616,-155.154314,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,6,224,FALSE,19.363606,-155.157777,19.363361,-155.157926,19.363187,-155.158114,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,6,224,FALSE,19.363606,-155.157777,19.363361,-155.157926,19.363187,-155.158114,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,20,137,FALSE,19.352561,-155.143148,19.352373,-155.143012,19.352176,-155.142886,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,4,192,FALSE,19.385454,-155.229039,19.38529,-155.229094,19.385055,-155.229167,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,4,192,FALSE,19.385454,-155.229039,19.38529,-155.229094,19.385055,-155.229167,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2021,3,Fixed,4,192,FALSE,19.385454,-155.229039,19.38529,-155.229094,19.385055,-155.229167,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,10,38,FALSE,19.381887,-155.227468,19.38207,-155.227308,19.382234,-155.227177,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,10,38,FALSE,19.381887,-155.227468,19.38207,-155.227308,19.382234,-155.227177,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2021,3,Fixed,10,38,FALSE,19.381887,-155.227468,19.38207,-155.227308,19.382234,-155.227177,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,27,108,FALSE,19.353248,-155.162912,19.353179,-155.162683,19.353109,-155.162463,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,21,75,FALSE,19.336455,-155.140197,19.336521,-155.139969,19.336577,-155.139742,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,18,64,FALSE,19.369743,-155.139841,19.369845,-155.139633,19.370152,-155.139647,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,26,29,FALSE,19.397696,-155.233156,19.397877,-155.233073,19.398059,-155.23299,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,1,6,FALSE,19.375418,-155.223935,19.375654,-155.2239,19.375889,-155.223865,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2021,3,Fixed,1,6,FALSE,19.375418,-155.223935,19.375654,-155.2239,19.375889,-155.223865,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,1,6,FALSE,19.375418,-155.223935,19.375654,-155.2239,19.375889,-155.223865,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,19,106,FALSE,19.353403,-155.154483,19.353351,-155.154254,19.3533,-155.154034,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Fixed,7,250,FALSE,19.37359,-155.125292,19.373497,-155.125491,19.373431,-155.125728,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,7,250,FALSE,19.37359,-155.125292,19.373497,-155.125491,19.373431,-155.125728,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,24,325,FALSE,19.378019,-155.218069,19.378136,-155.218128,19.378369,-155.218264,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,5,182,FALSE,19.482309,-155.227771,19.482102,-155.227759,19.481884,-155.227794,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,5,182,FALSE,19.482309,-155.227771,19.482102,-155.227759,19.481884,-155.227794,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,5,182,FALSE,19.482309,-155.227771,19.482102,-155.227759,19.481884,-155.227794,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,10,271,FALSE,19.468532,-155.23024,19.468529,-155.230478,19.468517,-155.230782,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,10,271,FALSE,19.468532,-155.23024,19.468529,-155.230478,19.468517,-155.230782,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,10,271,FALSE,19.468532,-155.23024,19.468529,-155.230478,19.468517,-155.230782,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,5,82,FALSE,19.36026,-155.122055,19.360299,-155.121817,19.360301,-155.121589,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,3,140,FALSE,19.485131,-155.223086,19.484934,-155.222903,19.484756,-155.222738,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,3,140,FALSE,19.485131,-155.223086,19.484934,-155.222903,19.484756,-155.222738,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,3,140,FALSE,19.485131,-155.223086,19.484934,-155.222903,19.484756,-155.222738,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,12,299,FALSE,19.477467,-155.213849,19.477582,-155.214098,19.477697,-155.214243,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,12,299,FALSE,19.477467,-155.213849,19.477582,-155.214098,19.477697,-155.214243,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,12,299,FALSE,19.477467,-155.213849,19.477582,-155.214098,19.477697,-155.214243,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,25,148,FALSE,19.373468,-155.123349,19.373289,-155.123204,19.37311,-155.123059,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,29,227,FALSE,19.350713,-155.116545,19.350558,-155.116714,19.350402,-155.116883,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,30,58,FALSE,19.344526,-155.120452,19.344646,-155.120244,19.344756,-155.120046,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,16,67,FALSE,19.354292,-155.117971,19.354411,-155.117763,19.354531,-155.117546,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Nahuku/East Rift,Nāhuku / East Rift,2010,1,Rotational,28,147,FALSE,19.344837,-155.10917,19.344649,-155.109044,19.344461,-155.108928,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Rotational,28,35,FALSE,19.477799,-155.25066,19.478018,-155.25053,19.478227,-155.250409,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Rotational,26,253,FALSE,19.47494,-155.249668,19.474856,-155.249886,19.474772,-155.250104,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2010,1,Fixed,14,170,FALSE,19.51804,-155.236481,19.517778,-155.236458,19.51758,-155.236446,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Fixed,14,170,FALSE,19.51804,-155.236481,19.517778,-155.236458,19.51758,-155.236446,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2021,3,Fixed,14,170,FALSE,19.51804,-155.236481,19.517778,-155.236458,19.51758,-155.236446,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Mauna Loa,Mauna Loa,2016,2,Fixed,1,106,FALSE,19.48957,-155.411775,19.4895,-155.411546,19.489449,-155.411307,World Geodetic System 1984,North,West,TRUE,TRUE
